"","V1","Date","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Cases_45_54","Cases_55_64","Cases_65","Cases_Unknown","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Deaths_45_54","Deaths_55_64","Deaths_65","Deaths_Unknown","Cases_0_17","Cases_25_44","Cases_45_64","Deaths_0_17","Deaths_25_44","Deaths_45_64","New_Cases_0_10","New_Cases_11_17","New_Cases_18_24","New_Cases_25_34","New_Cases_35_44","New_Cases_45_54","New_Cases_55_64","New_Cases_65","New_Deaths_0_10","New_Deaths_11_17","New_Deaths_18_24","New_Deaths_25_34","New_Deaths_35_44","New_Deaths_45_54","New_Deaths_55_64","New_Deaths_65","New_Cases_0_17","New_Cases_25_44","New_Cases_45_64","New_Deaths_0_17","New_Deaths_25_44","New_Deaths_45_64"
"1:192","1:191","2021-03-16",19781,27601,42095,52594,49944,46543,40578,48320,0,0,0,7,33,92,242,644,4475,0,NA,NA,NA,NA,NA,NA,10,35,58,62,61,58,53,59,0,0,0,0,2,2,2,6,NA,NA,NA,NA,NA,NA
"1:193","1:192","2021-03-15",19771,27566,42037,52532,49883,46485,40525,48261,0,0,0,7,33,90,240,642,4469,0,NA,NA,NA,NA,NA,NA,6,14,23,29,14,14,6,11,0,0,0,0,0,1,1,5,NA,NA,NA,NA,NA,NA
"1:194","1:193","2021-03-14",19765,27552,42014,52503,49869,46471,40519,48250,0,0,0,7,33,90,239,641,4464,0,NA,NA,NA,NA,NA,NA,0,15,16,21,20,20,14,24,0,0,0,0,1,0,4,14,NA,NA,NA,NA,NA,NA
"1:195","1:194","2021-03-13",19765,27537,41998,52482,49849,46451,40505,48226,0,0,0,7,33,89,239,637,4450,0,NA,NA,NA,NA,NA,NA,18,20,30,60,58,44,45,39,0,0,0,0,1,2,3,12,NA,NA,NA,NA,NA,NA
"1:196","1:195","2021-03-12",19747,27517,41968,52422,49791,46407,40460,48187,0,0,0,7,33,88,237,634,4438,0,NA,NA,NA,NA,NA,NA,35,38,44,78,58,57,59,90,0,0,0,0,1,2,2,22,NA,NA,NA,NA,NA,NA
"1:197","1:196","2021-03-11",19712,27479,41924,52344,49733,46350,40401,48097,0,0,0,7,33,87,235,632,4416,0,NA,NA,NA,NA,NA,NA,20,36,55,27,52,44,51,55,0,0,0,0,0,1,3,24,NA,NA,NA,NA,NA,NA
"1:198","1:197","2021-03-10",19692,27443,41869,52317,49681,46306,40350,48042,0,0,0,7,33,87,234,629,4392,0,NA,NA,NA,NA,NA,NA,13,24,32,45,55,41,33,74,0,0,0,0,0,1,4,20,NA,NA,NA,NA,NA,NA
"1:199","1:198","2021-03-09",19679,27419,41837,52272,49626,46265,40317,47968,0,0,0,7,33,87,233,625,4372,0,NA,NA,NA,NA,NA,NA,22,35,52,54,54,46,51,118,0,0,1,0,1,1,0,11,NA,NA,NA,NA,NA,NA
"1:200","1:199","2021-03-08",19657,27384,41785,52218,49572,46219,40266,47850,0,0,0,6,33,86,232,625,4361,0,NA,NA,NA,NA,NA,NA,8,11,9,24,15,15,16,35,0,0,0,0,0,1,2,21,NA,NA,NA,NA,NA,NA
"1:201","1:200","2021-03-07",19649,27373,41776,52194,49557,46204,40250,47815,0,0,0,6,33,86,231,623,4340,0,NA,NA,NA,NA,NA,NA,7,10,22,25,18,23,26,34,0,0,0,0,0,1,2,19,NA,NA,NA,NA,NA,NA
"1:202","1:201","2021-03-06",19642,27363,41754,52169,49539,46181,40224,47781,0,0,0,6,33,86,230,621,4321,0,NA,NA,NA,NA,NA,NA,22,30,34,54,48,38,42,59,0,0,0,0,1,0,1,12,NA,NA,NA,NA,NA,NA
"1:203","1:202","2021-03-05",19620,27333,41720,52115,49491,46143,40182,47722,0,0,0,6,33,85,230,620,4309,0,NA,NA,NA,NA,NA,NA,41,58,79,79,82,79,71,81,0,0,0,0,0,0,1,9,NA,NA,NA,NA,NA,NA
"1:204","1:203","2021-03-04",19579,27275,41641,52036,49409,46064,40111,47641,0,0,0,6,33,85,230,619,4300,0,NA,NA,NA,NA,NA,NA,27,29,40,74,68,61,48,56,0,0,0,0,2,1,0,9,NA,NA,NA,NA,NA,NA
"1:205","1:204","2021-03-03",19552,27246,41601,51962,49341,46003,40063,47585,0,0,0,6,33,83,229,619,4291,0,NA,NA,NA,NA,NA,NA,34,36,41,70,71,44,52,56,0,0,0,0,1,0,3,3,NA,NA,NA,NA,NA,NA
"1:206","1:205","2021-03-02",19518,27210,41560,51892,49270,45959,40011,47529,0,0,0,6,33,82,229,616,4288,0,NA,NA,NA,NA,NA,NA,13,31,40,67,66,58,64,101,0,0,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA
"1:207","1:206","2021-03-01",19505,27179,41520,51825,49204,45901,39947,47428,0,0,0,6,33,82,229,615,4285,0,NA,NA,NA,NA,NA,NA,12,14,6,19,14,15,17,-3,0,0,0,0,0,0,3,4,NA,NA,NA,NA,NA,NA
"1:208","1:207","2021-02-28",19493,27165,41514,51806,49190,45886,39930,47431,0,0,0,6,33,82,229,612,4281,0,NA,NA,NA,NA,NA,NA,238,2,369,638,566,515,480,412,0,0,0,-5,-1,-9,-24,-135,NA,NA,NA,NA,NA,NA
"1:209","1:208","2021-02-27",19255,27163,41145,51168,48624,45371,39450,47019,0,0,0,6,38,83,238,636,4416,0,NA,NA,NA,NA,NA,NA,27,26,75,94,119,70,64,82,0,0,0,0,0,1,1,8,NA,NA,NA,NA,NA,NA
"1:210","1:209","2021-02-26",19228,27137,41070,51074,48505,45301,39386,46937,0,0,0,6,38,83,237,635,4408,0,NA,NA,NA,NA,NA,NA,36,33,76,67,79,90,55,80,0,0,0,0,0,0,2,8,NA,NA,NA,NA,NA,NA
"1:211","1:210","2021-02-25",19192,27104,40994,51007,48426,45211,39331,46857,0,0,0,6,38,83,237,633,4400,0,NA,NA,NA,NA,NA,NA,43,42,91,105,108,101,120,116,0,0,0,0,0,1,3,6,NA,NA,NA,NA,NA,NA
"1:212","1:211","2021-02-24",19149,27062,40903,50902,48318,45110,39211,46741,0,0,0,6,38,83,236,630,4394,0,NA,NA,NA,NA,NA,NA,70,86,74,136,103,126,99,109,0,0,0,0,0,2,1,7,NA,NA,NA,NA,NA,NA
"1:213","1:212","2021-02-23",19079,26976,40829,50766,48215,44984,39112,46632,0,0,0,6,38,83,234,629,4387,0,NA,NA,NA,NA,NA,NA,66,69,85,134,156,110,106,108,0,0,0,0,0,1,4,9,NA,NA,NA,NA,NA,NA
"1:214","1:213","2021-02-22",19013,26907,40744,50632,48059,44874,39006,46524,0,0,0,6,38,83,233,625,4378,0,NA,NA,NA,NA,NA,NA,8,15,24,45,32,41,35,45,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA
"1:215","1:214","2021-02-21",19005,26892,40720,50587,48027,44833,38971,46479,0,0,0,6,38,83,233,625,4372,0,NA,NA,NA,NA,NA,NA,17,30,30,43,61,40,32,31,0,0,0,0,0,0,1,8,NA,NA,NA,NA,NA,NA
"1:216","1:215","2021-02-20",18988,26862,40690,50544,47966,44793,38939,46448,0,0,0,6,38,83,233,624,4364,0,NA,NA,NA,NA,NA,NA,40,29,62,79,82,81,70,74,0,0,0,0,0,2,1,9,NA,NA,NA,NA,NA,NA
"1:217","1:216","2021-02-19",18948,26833,40628,50465,47884,44712,38869,46374,0,0,0,6,38,83,231,623,4355,0,NA,NA,NA,NA,NA,NA,19,12,43,42,47,27,34,44,0,0,0,0,0,2,1,10,NA,NA,NA,NA,NA,NA
"1:218","1:217","2021-02-18",18929,26821,40585,50423,47837,44685,38835,46330,0,0,0,6,38,83,229,622,4345,0,NA,NA,NA,NA,NA,NA,17,11,34,34,47,25,38,47,0,0,0,0,0,0,1,9,NA,NA,NA,NA,NA,NA
"1:219","1:218","2021-02-17",18912,26810,40551,50389,47790,44660,38797,46283,0,0,0,6,38,83,229,621,4336,0,NA,NA,NA,NA,NA,NA,33,65,70,108,91,101,104,95,0,0,0,0,0,1,7,18,NA,NA,NA,NA,NA,NA
"1:220","1:219","2021-02-16",18879,26745,40481,50281,47699,44559,38693,46188,0,0,0,6,38,83,228,614,4318,0,NA,NA,NA,NA,NA,NA,13,15,15,22,19,28,35,30,0,0,0,0,0,1,1,10,NA,NA,NA,NA,NA,NA
"1:221","1:220","2021-02-15",18866,26730,40466,50259,47680,44531,38658,46158,0,0,0,6,38,83,227,613,4308,0,NA,NA,NA,NA,NA,NA,21,19,41,53,70,31,49,36,0,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA
"1:222","1:221","2021-02-14",18845,26711,40425,50206,47610,44500,38609,46122,0,0,0,6,38,83,227,613,4298,0,NA,NA,NA,NA,NA,NA,29,44,58,80,70,63,58,64,0,0,0,0,0,0,4,9,NA,NA,NA,NA,NA,NA
"1:223","1:222","2021-02-13",18816,26667,40367,50126,47540,44437,38551,46058,0,0,0,6,38,83,227,609,4289,0,NA,NA,NA,NA,NA,NA,52,106,116,163,131,130,124,132,0,0,0,0,2,0,3,35,NA,NA,NA,NA,NA,NA
"1:224","1:223","2021-02-12",18764,26561,40251,49963,47409,44307,38427,45926,0,0,0,6,38,81,227,606,4254,0,NA,NA,NA,NA,NA,NA,17,60,87,99,86,82,74,60,0,0,0,0,0,0,1,12,NA,NA,NA,NA,NA,NA
"1:225","1:224","2021-02-11",18747,26501,40164,49864,47323,44225,38353,45866,0,0,0,6,38,81,227,605,4242,0,NA,NA,NA,NA,NA,NA,104,125,130,183,153,162,117,129,0,0,0,0,1,2,2,20,NA,NA,NA,NA,NA,NA
"1:226","1:225","2021-02-10",18643,26376,40034,49681,47170,44063,38236,45737,0,0,0,6,38,80,225,603,4222,0,NA,NA,NA,NA,NA,NA,88,111,98,168,168,158,133,168,0,0,0,0,1,1,3,21,NA,NA,NA,NA,NA,NA
"1:227","1:226","2021-02-09",18555,26265,39936,49513,47002,43905,38103,45569,0,0,0,6,38,79,224,600,4201,0,NA,NA,NA,NA,NA,NA,120,155,168,232,214,206,168,212,0,0,0,1,1,2,3,35,NA,NA,NA,NA,NA,NA
"1:228","1:227","2021-02-08",18435,26110,39768,49281,46788,43699,37935,45357,0,0,0,6,37,78,222,597,4166,0,NA,NA,NA,NA,NA,NA,44,48,80,93,102,91,97,82,0,0,0,0,2,2,4,22,NA,NA,NA,NA,NA,NA
"1:229","1:228","2021-02-07",18391,26062,39688,49188,46686,43608,37838,45275,0,0,0,6,37,76,220,593,4144,0,NA,NA,NA,NA,NA,NA,54,61,78,92,100,82,87,118,0,0,0,0,0,2,3,10,NA,NA,NA,NA,NA,NA
"1:230","1:229","2021-02-06",18337,26001,39610,49096,46586,43526,37751,45157,0,0,0,6,37,76,218,590,4134,0,NA,NA,NA,NA,NA,NA,130,154,162,182,185,176,160,192,0,0,0,0,0,0,2,9,NA,NA,NA,NA,NA,NA
"1:231","1:230","2021-02-05",18207,25847,39448,48914,46401,43350,37591,44965,0,0,0,6,37,76,218,588,4125,0,NA,NA,NA,NA,NA,NA,139,269,175,236,258,242,246,259,0,0,0,0,0,0,4,37,NA,NA,NA,NA,NA,NA
"1:232","1:231","2021-02-04",18068,25578,39273,48678,46143,43108,37345,44706,0,0,0,6,37,76,218,584,4088,0,NA,NA,NA,NA,NA,NA,173,221,262,361,381,357,360,354,0,0,0,1,0,1,3,19,NA,NA,NA,NA,NA,NA
"1:233","1:232","2021-02-03",17895,25357,39011,48317,45762,42751,36985,44352,0,0,0,6,36,76,217,581,4069,0,NA,NA,NA,NA,NA,NA,170,251,294,351,331,367,301,361,0,0,0,0,1,2,8,35,NA,NA,NA,NA,NA,NA
"1:234","1:233","2021-02-02",17725,25106,38717,47966,45431,42384,36684,43991,0,0,0,6,36,75,215,573,4034,0,NA,NA,NA,NA,NA,NA,107,159,144,211,253,212,196,228,0,0,0,1,1,3,5,34,NA,NA,NA,NA,NA,NA
"1:235","1:234","2021-02-01",17618,24947,38573,47755,45178,42172,36488,43763,0,0,0,6,35,74,212,568,4000,0,NA,NA,NA,NA,NA,NA,70,110,124,211,171,181,172,187,0,0,0,0,0,0,1,26,NA,NA,NA,NA,NA,NA
"1:236","1:235","2021-01-31",17548,24837,38449,47544,45007,41991,36316,43576,0,0,0,6,35,74,212,567,3974,0,NA,NA,NA,NA,NA,NA,81,119,111,130,121,100,79,140,0,0,0,0,1,0,7,22,NA,NA,NA,NA,NA,NA
"1:237","1:236","2021-01-30",17467,24718,38338,47414,44886,41891,36237,43436,0,0,0,6,35,73,212,560,3952,0,NA,NA,NA,NA,NA,NA,132,184,182,269,261,242,251,303,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA
"1:238","1:237","2021-01-29",17335,24534,38156,47145,44625,41649,35986,43133,0,0,0,6,35,73,212,560,3945,0,NA,NA,NA,NA,NA,NA,137,254,200,235,241,222,196,222,0,0,0,0,0,2,6,39,NA,NA,NA,NA,NA,NA
"1:239","1:238","2021-01-28",17198,24280,37956,46910,44384,41427,35790,42911,0,0,0,6,35,73,210,554,3906,0,NA,NA,NA,NA,NA,NA,150,250,220,325,271,216,242,218,0,0,0,0,1,0,6,35,NA,NA,NA,NA,NA,NA
"1:240","1:239","2021-01-27",17048,24030,37736,46585,44113,41211,35548,42693,0,0,0,6,35,72,210,548,3871,0,NA,NA,NA,NA,NA,NA,124,243,185,275,248,257,210,235,0,0,1,0,0,2,5,44,NA,NA,NA,NA,NA,NA
"1:241","1:240","2021-01-26",16924,23787,37551,46310,43865,40954,35338,42458,0,0,0,5,35,72,208,543,3827,0,NA,NA,NA,NA,NA,NA,193,329,285,313,371,361,294,339,0,0,0,1,0,2,5,32,NA,NA,NA,NA,NA,NA
"1:242","1:241","2021-01-25",16731,23458,37266,45997,43494,40593,35044,42119,0,0,0,5,34,72,206,538,3795,0,NA,NA,NA,NA,NA,NA,51,53,63,103,95,84,72,115,0,0,0,0,0,0,4,40,NA,NA,NA,NA,NA,NA
"1:243","1:242","2021-01-24",16680,23405,37203,45894,43399,40509,34972,42004,0,0,0,5,34,72,206,534,3755,0,NA,NA,NA,NA,NA,NA,97,164,102,133,137,163,123,152,0,0,0,0,0,2,2,39,NA,NA,NA,NA,NA,NA
"1:244","1:243","2021-01-23",16583,23241,37101,45761,43262,40346,34849,41852,0,0,0,5,34,72,204,532,3716,0,NA,NA,NA,NA,NA,NA,117,165,213,253,241,206,202,216,0,0,0,0,0,2,1,11,NA,NA,NA,NA,NA,NA
"1:245","1:244","2021-01-22",16466,23076,36888,45508,43021,40140,34647,41636,0,0,0,5,34,72,202,531,3705,0,NA,NA,NA,NA,NA,NA,166,261,241,295,284,280,275,360,0,0,0,1,0,0,7,45,NA,NA,NA,NA,NA,NA
"1:246","1:245","2021-01-21",16300,22815,36647,45213,42737,39860,34372,41276,0,0,0,5,33,72,202,524,3660,0,NA,NA,NA,NA,NA,NA,235,323,361,466,447,448,401,425,NA,NA,0,0,0,1,11,43,NA,NA,NA,NA,NA,NA
"1:247","1:246","2021-01-20",16065,22492,36286,44747,42290,39412,33971,40851,NA,NA,NA,5,33,72,201,513,3617,NA,NA,NA,NA,NA,NA,NA,122,264,282,391,381,373,372,335,NA,NA,0,0,0,1,9,45,NA,NA,NA,NA,NA,NA
"1:248","1:247","2021-01-19",15943,22228,36004,44356,41909,39039,33599,40516,0,0,0,5,33,72,200,504,3572,0,NA,NA,NA,NA,NA,NA,40,107,173,204,215,215,182,195,0,0,0,1,0,2,9,31,NA,NA,NA,NA,NA,NA
"1:249","1:248","2021-01-18",15903,22121,35831,44152,41694,38824,33417,40321,0,0,0,5,32,72,198,495,3541,0,NA,NA,NA,NA,NA,NA,176,85,115,154,191,130,114,144,0,0,0,0,0,0,3,29,NA,NA,NA,NA,NA,NA
"1:250","1:249","2021-01-17",15727,22036,35716,43998,41503,38694,33303,40177,0,0,0,5,32,72,198,492,3512,0,NA,NA,NA,NA,NA,NA,74,97,127,147,149,126,118,138,0,0,0,0,0,2,0,16,NA,NA,NA,NA,NA,NA
"1:251","1:250","2021-01-16",15653,21939,35589,43851,41354,38568,33185,40039,0,0,0,5,32,72,196,492,3496,0,NA,NA,NA,NA,NA,NA,165,281,330,392,372,357,305,341,0,0,0,0,0,0,4,26,NA,NA,NA,NA,NA,NA
"1:252","1:251","2021-01-15",15488,21658,35259,43459,40982,38211,32880,39698,0,0,0,5,32,72,196,488,3470,0,NA,NA,NA,NA,NA,NA,231,339,344,467,456,459,398,430,0,0,0,0,0,3,6,26,NA,NA,NA,NA,NA,NA
"1:253","1:252","2021-01-14",15257,21319,34915,42992,40526,37752,32482,39268,0,0,0,5,32,72,193,482,3444,0,NA,NA,NA,NA,NA,NA,168,258,303,385,332,402,303,340,0,0,0,0,1,3,2,36,NA,NA,NA,NA,NA,NA
"1:254","1:253","2021-01-13",15089,21061,34612,42607,40194,37350,32179,38928,0,0,0,5,32,71,190,480,3408,0,NA,NA,NA,NA,NA,NA,151,275,294,383,350,324,295,395,0,0,0,0,1,2,8,54,NA,NA,NA,NA,NA,NA
"1:255","1:254","2021-01-12",14938,20786,34318,42224,39844,37026,31884,38533,0,0,0,5,32,70,188,472,3354,0,NA,NA,NA,NA,NA,NA,207,299,402,513,449,453,420,466,0,0,0,0,0,2,6,32,NA,NA,NA,NA,NA,NA
"1:256","1:255","2021-01-11",14731,20487,33916,41711,39395,36573,31464,38067,0,0,0,5,32,70,186,466,3322,0,NA,NA,NA,NA,NA,NA,51,110,183,209,194,162,178,181,0,0,0,0,1,0,6,31,NA,NA,NA,NA,NA,NA
"1:257","1:256","2021-01-10",14680,20377,33733,41502,39201,36411,31286,37886,0,0,0,5,32,69,186,460,3291,0,NA,NA,NA,NA,NA,NA,197,200,413,521,503,506,449,541,0,0,0,0,0,0,1,32,NA,NA,NA,NA,NA,NA
"1:258","1:257","2021-01-09",14483,20177,33320,40981,38698,35905,30837,37345,0,0,0,5,32,69,186,459,3259,0,NA,NA,NA,NA,NA,NA,197,297,397,475,389,397,321,413,0,0,0,0,0,4,6,34,NA,NA,NA,NA,NA,NA
"1:259","1:258","2021-01-08",14286,19880,32923,40506,38309,35508,30516,36932,0,0,0,5,32,69,182,453,3225,0,NA,NA,NA,NA,NA,NA,298,241,380,454,407,371,367,426,0,0,0,0,0,1,3,36,NA,NA,NA,NA,NA,NA
"1:260","1:259","2021-01-07",13988,19639,32543,40052,37902,35137,30149,36506,0,0,0,5,32,69,181,450,3189,0,NA,NA,NA,NA,NA,NA,227,389,436,490,492,420,420,449,0,0,0,0,0,0,3,22,NA,NA,NA,NA,NA,NA
"1:261","1:260","2021-01-06",13761,19250,32107,39562,37410,34717,29729,36057,0,0,0,5,32,69,181,447,3167,0,NA,NA,NA,NA,NA,NA,250,359,492,613,552,472,444,523,0,0,0,1,1,1,5,57,NA,NA,NA,NA,NA,NA
"1:262","1:261","2021-01-05",13511,18891,31615,38949,36858,34245,29285,35534,0,0,0,5,31,68,180,442,3110,0,NA,NA,NA,NA,NA,NA,221,369,491,658,654,615,536,563,0,0,0,0,1,-1,2,34,NA,NA,NA,NA,NA,NA
"1:263","1:262","2021-01-04",13290,18522,31124,38291,36204,33630,28749,34971,0,0,0,5,31,67,181,440,3076,0,NA,NA,NA,NA,NA,NA,65,87,173,213,208,178,171,211,0,0,0,0,0,6,6,39,NA,NA,NA,NA,NA,NA
"1:264","1:263","2021-01-03",13225,18435,30951,38078,35996,33452,28578,34760,0,0,0,5,31,67,175,434,3037,0,NA,NA,NA,NA,NA,NA,95,139,234,324,333,288,304,316,0,0,0,0,0,0,4,16,NA,NA,NA,NA,NA,NA
"1:265","1:264","2021-01-02",13130,18296,30717,37754,35663,33164,28274,34444,0,0,0,5,31,67,175,430,3021,0,NA,NA,NA,NA,NA,NA,122,139,279,362,287,283,233,295,0,0,0,0,0,0,0,18,NA,NA,NA,NA,NA,NA
"1:266","1:265","2021-01-01",13008,18157,30438,37392,35376,32881,28041,34149,0,0,0,5,31,67,175,430,3003,0,NA,NA,NA,NA,NA,NA,205,288,548,702,670,625,563,703,0,0,0,0,0,0,5,30,NA,NA,NA,NA,NA,NA
"1:267","1:266","2020-12-31",12803,17869,29890,36690,34706,32256,27478,33446,0,0,0,5,31,67,175,425,2973,0,NA,NA,NA,NA,NA,NA,110,204,340,451,404,392,347,460,0,0,0,1,0,1,5,32,NA,NA,NA,NA,NA,NA
"1:268","1:267","2020-12-30",12693,17665,29550,36239,34302,31864,27131,32986,0,0,0,5,30,67,174,420,2941,0,NA,NA,NA,NA,NA,NA,134,208,410,491,550,459,403,529,0,0,0,1,1,0,4,28,NA,NA,NA,NA,NA,NA
"1:269","1:268","2020-12-29",12559,17457,29140,35748,33752,31405,26728,32457,0,0,0,5,29,66,174,416,2913,0,NA,NA,NA,NA,NA,NA,103,176,321,424,438,430,379,447,0,0,0,0,1,5,6,54,NA,NA,NA,NA,NA,NA
"1:270","1:269","2020-12-28",12456,17281,28819,35324,33314,30975,26349,32010,0,0,0,5,29,65,169,410,2859,0,NA,NA,NA,NA,NA,NA,154,108,166,250,268,247,193,265,0,0,0,0,0,0,2,53,NA,NA,NA,NA,NA,NA
"1:271","1:270","2020-12-27",12302,17173,28653,35074,33046,30728,26156,31745,0,0,0,5,29,65,169,408,2806,0,NA,NA,NA,NA,NA,NA,48,53,81,133,160,128,124,181,0,0,1,0,1,1,4,34,NA,NA,NA,NA,NA,NA
"1:272","1:271","2020-12-26",12254,17120,28572,34941,32886,30600,26032,31564,0,0,0,4,29,64,168,404,2772,0,NA,NA,NA,NA,NA,NA,30,36,71,117,122,110,88,128,0,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA
"1:273","1:272","2020-12-25",12224,17084,28501,34824,32764,30490,25944,31436,0,0,0,4,29,64,167,404,2770,0,NA,NA,NA,NA,NA,NA,116,186,241,342,302,318,307,310,0,0,0,0,1,0,2,29,NA,NA,NA,NA,NA,NA
"1:274","1:273","2020-12-24",12108,16898,28260,34482,32462,30172,25637,31126,0,0,0,4,29,63,167,402,2741,0,NA,NA,NA,NA,NA,NA,152,245,350,519,490,480,475,493,0,0,0,0,0,2,1,27,NA,NA,NA,NA,NA,NA
"1:275","1:274","2020-12-23",11956,16653,27910,33963,31972,29692,25162,30633,0,0,0,4,29,63,165,401,2714,0,NA,NA,NA,NA,NA,NA,162,222,318,470,507,428,363,423,0,0,0,0,0,2,4,32,NA,NA,NA,NA,NA,NA
"1:276","1:275","2020-12-22",11794,16431,27592,33493,31465,29264,24799,30210,0,0,0,4,29,63,163,397,2682,0,NA,NA,NA,NA,NA,NA,108,136,167,310,329,313,244,334,0,0,0,0,1,2,4,36,NA,NA,NA,NA,NA,NA
"1:277","1:276","2020-12-21",11686,16295,27425,33183,31136,28951,24555,29876,0,0,0,4,29,62,161,393,2646,0,NA,NA,NA,NA,NA,NA,85,128,169,243,221,174,179,258,0,0,0,0,3,3,7,45,NA,NA,NA,NA,NA,NA
"1:278","1:277","2020-12-20",11601,16167,27256,32940,30915,28777,24376,29618,0,0,0,4,29,59,158,386,2601,0,NA,NA,NA,NA,NA,NA,109,135,193,216,237,195,197,254,0,0,0,1,1,0,4,40,NA,NA,NA,NA,NA,NA
"1:279","1:278","2020-12-19",11492,16032,27063,32724,30678,28582,24179,29364,0,0,0,4,28,58,158,382,2561,0,NA,NA,NA,NA,NA,NA,188,265,273,413,458,383,341,372,0,0,0,-1,0,1,4,48,NA,NA,NA,NA,NA,NA
"1:280","1:279","2020-12-18",11304,15767,26790,32311,30220,28199,23838,28992,0,0,0,4,29,58,157,378,2513,0,NA,NA,NA,NA,NA,NA,180,253,318,457,494,416,379,381,0,0,0,0,0,2,0,25,NA,NA,NA,NA,NA,NA
"1:281","1:280","2020-12-17",11124,15514,26472,31854,29726,27783,23459,28611,0,0,0,4,29,58,155,378,2488,0,NA,NA,NA,NA,NA,NA,192,284,345,472,454,429,407,456,0,0,0,0,1,2,2,33,NA,NA,NA,NA,NA,NA
"1:282","1:281","2020-12-16",10932,15230,26127,31382,29272,27354,23052,28155,0,0,0,4,29,57,153,376,2455,0,NA,NA,NA,NA,NA,NA,138,249,239,344,385,341,301,309,0,0,0,0,2,4,7,45,NA,NA,NA,NA,NA,NA
"1:283","1:282","2020-12-15",10794,14981,25888,31038,28887,27013,22751,27846,0,0,0,4,29,55,149,369,2410,0,NA,NA,NA,NA,NA,NA,139,164,210,328,365,337,296,302,0,0,0,1,0,1,3,21,NA,NA,NA,NA,NA,NA
"1:284","1:283","2020-12-14",10655,14817,25678,30710,28522,26676,22455,27544,0,0,0,4,28,55,148,366,2389,0,NA,NA,NA,NA,NA,NA,99,111,129,216,217,200,171,212,0,0,0,0,1,2,7,35,NA,NA,NA,NA,NA,NA
"1:285","1:284","2020-12-13",10556,14706,25549,30494,28305,26476,22284,27332,0,0,0,4,28,54,146,359,2354,0,NA,NA,NA,NA,NA,NA,87,137,160,209,217,195,198,247,0,0,0,0,0,3,3,28,NA,NA,NA,NA,NA,NA
"1:286","1:285","2020-12-12",10469,14569,25389,30285,28088,26281,22086,27085,0,0,0,4,28,54,143,356,2326,0,NA,NA,NA,NA,NA,NA,178,280,286,426,390,344,301,423,0,0,0,0,0,1,5,30,NA,NA,NA,NA,NA,NA
"1:287","1:286","2020-12-11",10291,14289,25103,29859,27698,25937,21785,26662,0,0,0,4,28,54,142,351,2296,0,NA,NA,NA,NA,NA,NA,155,230,345,475,396,376,349,444,0,0,0,0,0,1,5,49,NA,NA,NA,NA,NA,NA
"1:288","1:287","2020-12-10",10136,14059,24758,29384,27302,25561,21436,26218,0,0,0,4,28,54,141,346,2247,0,NA,NA,NA,NA,NA,NA,47,172,275,402,379,323,273,331,0,0,0,0,0,1,3,30,NA,NA,NA,NA,NA,NA
"1:289","1:288","2020-12-09",10089,13887,24483,28982,26923,25238,21163,25887,0,0,0,4,28,54,140,343,2217,0,NA,NA,NA,NA,NA,NA,120,274,265,336,357,329,302,344,0,0,0,0,0,0,4,30,NA,NA,NA,NA,NA,NA
"1:290","1:289","2020-12-08",9969,13613,24218,28646,26566,24909,20861,25543,0,0,0,4,28,54,140,339,2187,0,NA,NA,NA,NA,NA,NA,193,198,241,339,303,332,302,375,0,0,0,0,1,1,4,33,NA,NA,NA,NA,NA,NA
"1:291","1:290","2020-12-07",9776,13415,23977,28307,26263,24577,20559,25168,0,0,0,4,28,53,139,335,2154,0,NA,NA,NA,NA,NA,NA,64,108,132,175,194,163,128,154,0,0,0,0,0,1,7,45,NA,NA,NA,NA,NA,NA
"1:292","1:291","2020-12-06",9712,13307,23845,28132,26069,24414,20431,25014,0,0,0,4,28,53,138,328,2109,0,NA,NA,NA,NA,NA,NA,95,138,189,253,238,209,179,241,0,0,0,0,2,0,4,34,NA,NA,NA,NA,NA,NA
"1:293","1:292","2020-12-05",9617,13169,23656,27879,25831,24205,20252,24773,0,0,0,4,28,51,138,324,2075,0,NA,NA,NA,NA,NA,NA,162,231,271,369,326,290,267,329,0,0,0,0,0,2,2,30,NA,NA,NA,NA,NA,NA
"1:294","1:293","2020-12-04",9455,12938,23385,27510,25505,23915,19985,24444,0,0,0,4,28,51,136,322,2045,0,NA,NA,NA,NA,NA,NA,178,257,350,477,418,380,351,416,0,0,0,1,0,0,3,27,NA,NA,NA,NA,NA,NA
"1:295","1:294","2020-12-03",9277,12681,23035,27033,25087,23535,19634,24028,0,0,0,4,27,51,136,319,2018,0,NA,NA,NA,NA,NA,NA,177,280,317,430,429,400,306,450,0,0,0,0,1,2,3,27,NA,NA,NA,NA,NA,NA
"1:296","1:295","2020-12-02",9100,12401,22718,26603,24658,23135,19328,23578,0,0,0,4,27,50,134,316,1991,0,NA,NA,NA,NA,NA,NA,122,229,266,314,333,308,274,366,0,0,0,1,0,0,3,6,NA,NA,NA,NA,NA,NA
