"","V1","Date","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Cases_45_54","Cases_55_64","Cases_65","Cases_Unknown","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Deaths_45_54","Deaths_55_64","Deaths_65","Deaths_Unknown","Cases_0_17","Cases_25_44","Cases_45_64","Deaths_0_17","Deaths_25_44","Deaths_45_64","New_Cases_0_10","New_Cases_11_17","New_Cases_18_24","New_Cases_25_34","New_Cases_35_44","New_Cases_45_54","New_Cases_55_64","New_Cases_65","New_Deaths_0_10","New_Deaths_11_17","New_Deaths_18_24","New_Deaths_25_34","New_Deaths_35_44","New_Deaths_45_54","New_Deaths_55_64","New_Deaths_65","New_Cases_0_17","New_Cases_25_44","New_Cases_45_64","New_Deaths_0_17","New_Deaths_25_44","New_Deaths_45_64"
"1:32","1:31","2021-09-04",34720,41434,58879,76272,70816,63257,54584,62761,NA,NA,NA,15,67,173,401,974,5405,NA,NA,NA,NA,3,NA,NA,262,443,268,352,313,273,219,230,NA,NA,0,0,1,0,3,12,NA,NA,NA,0,NA,NA
"1:33","1:32","2021-09-03",34458,40991,58611,75920,70503,62984,54365,62531,NA,NA,NA,15,67,172,401,971,5393,NA,NA,NA,NA,3,NA,NA,489,279,228,306,268,190,188,181,NA,NA,0,0,1,2,3,13,NA,NA,NA,0,NA,NA
"1:34","1:33","2021-09-02",33969,40712,58383,75614,70235,62794,54177,62350,NA,NA,NA,15,67,171,399,968,5380,NA,NA,NA,NA,3,NA,NA,458,411,264,345,333,237,210,195,NA,NA,0,1,1,4,9,19,NA,NA,NA,0,NA,NA
"1:35","1:34","2021-09-01",33511,40301,58119,75269,69902,62557,53967,62155,NA,NA,NA,15,66,170,395,959,5361,NA,NA,NA,NA,3,NA,NA,392,514,339,406,386,303,269,281,NA,NA,0,1,1,5,7,21,NA,NA,NA,0,NA,NA
"1:36","1:35","2021-08-31",33119,39787,57780,74863,69516,62254,53698,61874,NA,NA,NA,15,65,169,390,952,5340,NA,NA,NA,NA,3,NA,NA,445,405,299,382,345,266,239,245,NA,NA,0,0,3,6,4,9,NA,NA,NA,0,NA,NA
"1:37","1:36","2021-08-30",32674,39382,57481,74481,69171,61988,53459,61629,NA,NA,NA,15,65,166,384,948,5331,NA,NA,NA,NA,3,NA,NA,125,88,106,154,131,111,75,92,NA,NA,1,1,1,2,7,21,NA,NA,NA,0,NA,NA
"1:38","1:37","2021-08-29",32549,39294,57375,74327,69040,61877,53384,61537,NA,NA,NA,14,64,165,382,941,5310,NA,NA,NA,NA,3,NA,NA,66,157,96,125,111,100,64,68,NA,NA,0,0,0,2,5,18,NA,NA,NA,0,NA,NA
"1:39","1:38","2021-08-28",32483,39137,57279,74202,68929,61777,53320,61469,NA,NA,NA,14,64,165,380,936,5292,NA,NA,NA,NA,3,NA,NA,375,260,300,342,282,216,207,184,NA,NA,0,0,1,1,5,11,NA,NA,NA,0,NA,NA
"1:40","1:39","2021-08-27",32108,38877,56979,73860,68647,61561,53113,61285,NA,NA,NA,14,64,164,379,931,5281,NA,NA,NA,NA,3,NA,NA,599,423,323,382,363,289,250,237,NA,NA,2,0,3,5,6,14,NA,NA,NA,0,NA,NA
"1:41","1:40","2021-08-26",31509,38454,56656,73478,68284,61272,52863,61048,NA,NA,NA,12,64,161,374,925,5267,NA,NA,NA,NA,3,NA,NA,317,394,275,363,312,237,188,232,NA,NA,0,0,2,6,3,21,NA,NA,NA,0,NA,NA
