"","county_nam","mydate","deaths","fhwa_numbe","fips","positive","negative","recoveries","total_tests","active_cases","pop_5yr_est_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"6314","Arkansas",2020-07-11,0,0,0,0,0,0,0,0,0,56,0,1669,0,29,0,0,0,27,0,1725,0,0,0,0,0,0,0,4,1,0,24,0.308982565,9.517766497,2.758772898,14.89737365,3.246376812,16.66666667,29,0,100,0,0
"6315","Arkansas_all_counties",2020-07-11,0,0,0,0,0,0,0,0,2990671,27864,0,348701,0,21190,0,319,0,6355,0,376565,0,0,0,0,0,0,0,1061,548,6,6730,0.923320401,12.47811322,3.515801556,21.05835899,7.399519339,15.76523031,21509,1.483100098,98.5168999,0,0
"6316","Ashley",2020-07-11,0,0,0,0,0,0,0,0,0,97,0,1686,0,67,0,3,0,27,0,1783,0,0,0,0,0,0,0,4,1,0,59,0.472318255,8.681891221,3.408482252,13.14700297,5.440269209,6.779661017,70,4.285714286,95.71428571,0,0
"6317","Baxter",2020-07-11,0,0,0,0,0,0,0,0,0,29,0,2523,0,22,0,0,0,7,0,2552,0,0,0,0,0,0,0,1,1,0,62,0.070355904,6.191319537,0.242606565,1.698245955,1.136363636,1.612903226,22,0,100,0,0
"6318","Benton",2020-07-11,0,0,0,0,0,0,0,0,0,3416,0,38462,0,2883,0,22,0,511,0,41878,0,0,0,0,0,0,0,61,83,0,719,1.319020774,16.17036065,4.092980153,19.73125338,8.157027556,8.484005563,2905,0.757314974,99.24268503,0,0
"6319","Boone",2020-07-11,0,0,0,0,0,0,0,0,0,46,0,2720,0,28,0,1,0,17,0,2766,0,0,0,0,0,0,0,1,3,0,42,0.123364085,7.417936065,3.218193521,4.559107488,1.663051338,2.380952381,29,3.448275862,96.55172414,0,0
"6320","Bradley",2020-07-11,0,0,0,0,0,0,0,0,0,75,0,1264,0,47,0,2,0,26,0,1339,0,0,0,0,0,0,0,6,1,0,45,0.685056631,12.23054439,1.826817684,23.74862989,5.601194922,13.33333333,49,4.081632653,95.91836735,0,0
"6321","Calhoun",2020-07-11,0,0,0,0,0,0,0,0,0,2,0,374,0,0,0,0,0,2,0,376,0,0,0,0,0,0,0,0,0,0,12,0.038446751,7.227989235,0,3.844675125,0.531914894,0,0,NA,0,0,0
"6322","Carroll",2020-07-11,0,0,0,0,0,0,0,0,0,225,0,3102,0,172,0,6,0,47,0,3327,0,0,0,0,0,0,0,5,10,0,32,0.806827554,11.9302901,4.303080288,16.85373113,6.762849414,15.625,178,3.370786517,96.62921348,0,0
"6323","Chicot",2020-07-11,0,0,0,0,0,0,0,0,0,210,0,1572,0,142,0,3,0,65,0,1782,0,0,0,0,0,0,0,3,2,0,16,1.939774617,16.46037318,11.08442638,60.0406429,11.78451178,18.75,145,2.068965517,97.93103448,0,0
"6324","Clark",2020-07-11,0,0,0,0,0,0,0,0,0,75,0,2012,0,59,0,0,0,16,0,2087,0,0,0,0,0,0,0,5,1,0,24,0.33504579,9.323207505,2.233638597,7.147643511,3.593675132,20.83333333,59,0,100,0,0
"6325","Clay",2020-07-11,0,0,0,0,0,0,0,0,0,80,0,1699,0,59,0,3,0,18,0,1779,0,0,0,0,0,0,0,2,1,0,25,0.531173229,11.81196468,2.655866144,11.95139765,4.496908375,8,62,4.838709677,95.16129032,0,0
"6326","Cleburne",2020-07-11,0,0,0,0,0,0,0,0,0,130,0,2317,0,91,0,4,0,35,0,2447,0,0,0,0,0,0,0,2,2,0,24,0.515259612,9.698771304,1.981767737,13.87237416,5.312627707,8.333333333,95,4.210526316,95.78947368,0,0
"6327","Cleveland",2020-07-11,0,0,0,0,0,0,0,0,0,35,0,828,0,27,0,0,0,8,0,863,0,0,0,0,0,0,0,4,1,0,14,0.425480185,10.4911257,1.215657671,9.725261366,4.05561993,28.57142857,27,0,100,0,0
"6328","Columbia",2020-07-11,0,0,0,0,0,0,0,0,0,107,0,1577,0,79,0,5,0,23,0,1684,0,0,0,0,0,0,0,2,2,0,34,0.447848652,7.048384396,1.255650427,9.626653273,6.35391924,5.882352941,84,5.952380952,94.04761905,0,0
"6329","Conway",2020-07-11,0,0,0,0,0,0,0,0,0,89,0,1815,0,53,0,3,0,33,0,1904,0,0,0,0,0,0,0,3,3,0,46,0.425715106,9.107433273,0.956663159,15.78494212,4.674369748,6.52173913,56,5.357142857,94.64285714,0,0
"6330","Craighead",2020-07-11,0,0,0,0,0,0,0,0,0,541,0,11853,0,455,0,7,0,79,0,12394,0,0,0,0,0,0,0,17,8,0,109,0.51182108,11.72552767,1.513703749,7.473912262,4.36501533,15.59633028,462,1.515151515,98.48484848,0,0
"6331","Crawford",2020-07-11,0,0,0,0,0,0,0,0,0,270,0,5121,0,171,0,2,0,97,0,5391,0,0,0,0,0,0,0,10,4,0,167,0.432193623,8.629466001,3.201434243,15.52695608,5.008347245,5.988023952,173,1.156069364,98.84393064,0,0
"6332","Crittenden",2020-07-11,0,0,0,0,0,0,0,0,0,833,0,6374,0,716,0,14,0,103,0,7207,0,0,0,0,0,0,0,16,11,1,40,1.699549099,14.70426213,3.264440047,21.0148328,11.5582073,40,730,1.917808219,98.08219178,0,0
"6333","Cross",2020-07-11,0,0,0,0,0,0,0,0,0,95,0,1561,0,85,0,1,0,9,0,1656,0,0,0,0,0,0,0,1,1,0,25,0.558889281,9.742322626,1.764913519,5.294740558,5.736714976,4,86,1.162790698,98.8372093,0,0
"6334","Dallas",2020-07-11,0,0,0,0,0,0,0,0,0,10,0,554,0,10,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,25,0.134553283,7.588805167,-1.345532831,0,1.773049645,0,10,0,100,0,0
"6335","Desha",2020-07-11,0,0,0,0,0,0,0,0,0,79,0,1177,0,48,0,1,0,30,0,1256,0,0,0,0,0,0,0,4,1,0,31,0.664591571,10.56616472,4.206275763,25.23765458,6.289808917,12.90322581,49,2.040816327,97.95918367,0,0
"6336","Drew",2020-07-11,0,0,0,0,0,0,0,0,0,89,0,1882,0,64,0,2,0,23,0,1971,0,0,0,0,0,0,0,4,4,0,61,0.481029078,10.65290239,2.70241055,12.43108853,4.515474378,6.557377049,66,3.03030303,96.96969697,0,0
"6337","Faulkner",2020-07-11,0,0,0,0,0,0,0,0,0,757,0,11446,0,506,0,3,0,248,0,12203,0,0,0,0,0,0,0,30,36,0,252,0.618383218,9.968468174,4.329499412,20.2587897,6.203392608,11.9047619,509,0.589390963,99.41060904,0,0
"6338","Franklin",2020-07-11,0,0,0,0,0,0,0,0,0,30,0,1572,0,22,0,1,0,7,0,1602,0,0,0,0,0,0,0,2,0,0,34,0.168728909,9.010123735,0.562429696,3.937007874,1.872659176,5.882352941,23,4.347826087,95.65217391,0,0
"6339","Fulton",2020-07-11,0,0,0,0,0,0,0,0,0,17,0,1016,0,13,0,0,0,4,0,1033,0,0,0,0,0,0,0,0,0,0,9,0.140044485,8.509761924,0.823791087,3.295164346,1.645692159,0,13,0,100,0,0
