"","County","Date","Positive","Negative","Recovered","Total_Deaths","Number_Tested","Current_Infections","Population","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths"
"1744","Montgomery",2020-08-26,65,1154,43,3,1219,19,8993,4,3,0,12,0.722784387857222,12.832202824419,4.44790392527521,21.1275436450573,5.33223954060705,33.3333333333333,46,6.52173913043478,93.4782608695652
"1745","Nevada",2020-08-26,158,2131,137,11,2289,10,8440,0,1,0,6,1.87203791469194,25.2488151658768,0,11.8483412322275,6.90257754477938,0,148,7.43243243243243,92.5675675675676
"1746","Newton",2020-08-26,110,1121,92,15,1231,3,7848,1,2,0,11,1.40163098878695,14.2838939857288,1.27420998980632,3.82262996941896,8.93582453290008,9.09090909090909,107,14.018691588785,85.981308411215
"1747","Ouachita",2020-08-26,135,3968,113,4,4103,18,24106,2,0,0,17,0.560026549406787,17.0206587571559,0.829668962084128,7.46702065875716,3.29027540823787,11.7647058823529,117,3.41880341880342,96.5811965811966
"1748","Perry",2020-08-26,59,2007,56,0,2066,3,10322,1,0,0,-12,0.571594652199186,19.4439062197249,0.968804495252858,2.90641348575857,2.85575992255566,-8.33333333333333,56,0,100
"1749","Phillips",2020-08-26,385,4908,338,9,5293,38,19034,6,3,0,49,2.02269622780288,27.8081328149627,3.15225386151098,19.9642744562362,7.27375779331192,12.2448979591837,347,2.59365994236311,97.4063400576369
"1750","Pike",2020-08-26,163,1676,145,1,1839,17,10808,2,8,0,8,1.50814211695041,17.0151739452258,1.85048112509252,15.7290895632865,8.86351277868407,25,146,0.684931506849315,99.3150684931507
"1751","Poinsett",2020-08-26,452,5230,342,4,5682,106,24054,20,9,0,77,1.87910534630415,23.6218508356199,8.31462542612455,44.0675147584601,7.95494544174586,25.974025974026,346,1.15606936416185,98.8439306358381
"1752","Polk",2020-08-26,212,2968,178,3,3180,31,20163,4,4,1,18,1.05143083866488,14.7200317413083,1.98383177106581,15.3746962257601,6.66666666666667,22.2222222222222,181,1.65745856353591,98.3425414364641
"1753","Pope",2020-08-26,1620,15269,1452,14,16889,154,63644,15,35,0,94,2.54540883665389,23.9912639054742,2.35686003393878,24.1970963484382,9.59204215761738,15.9574468085106,1466,0.954979536152797,99.0450204638472
"1754","Prairie",2020-08-26,114,1485,110,0,1599,4,8244,0,2,0,2,1.38282387190684,18.0131004366812,0,4.85201358563804,7.12945590994371,0,110,0,100
"1755","Pulaski",2020-08-26,6761,88327,5995,99,95088,667,393463,86,64,1,841,1.71833183806355,22.448616515403,2.18572013124487,16.9520386923294,7.11025576308262,10.2259215219976,6094,1.62454873646209,98.3754512635379
"1756","Randolph",2020-08-26,292,3505,250,12,3797,30,17603,1,7,0,21,1.65880815770039,21.5701868999602,0.568084985513833,17.042549565415,7.69028180142218,4.76190476190476,262,4.58015267175572,95.4198473282443
"1757","Saline",2020-08-26,1475,18499,1233,11,19974,231,118009,66,19,1,202,1.24990466828801,16.9258276911083,5.5927937699667,19.5747781948834,7.38459997997397,32.6732673267327,1244,0.884244372990354,99.1157556270096
"1758","Scott",2020-08-26,84,1385,79,0,1469,5,10442,0,1,0,11,0.804443593181383,14.0681861712316,0,4.78835472131775,5.71817562968005,0,79,0,100
"1759","Searcy",2020-08-26,73,1421,34,0,1494,39,7923,7,2,0,14,0.921368168622996,18.8564937523665,8.8350372333712,49.2237788716395,4.88621151271754,50,34,0,100
"1760","Sebastian",2020-08-26,2753,30141,2396,32,32894,325,127461,31,25,2,268,2.15987635433584,25.8071096256894,2.43211649053436,25.4979954652796,8.36930747248738,11.5671641791045,2428,1.31795716639209,98.6820428336079
"1761","Sevier",2020-08-26,1142,5437,1081,12,6579,49,17193,8,9,0,29,6.64223812016518,31.6233350782295,4.65305647647298,28.499970918397,17.3582611339109,27.5862068965517,1093,1.09789569990851,98.9021043000915
"1762","Sharp",2020-08-26,145,2660,119,5,2805,21,17043,8,3,0,23,0.850789180308631,16.4583700052808,4.69400927066831,12.3217743355043,5.16934046345811,34.7826086956522,124,4.03225806451613,95.9677419354839
"1763","St. Francis",2020-08-26,1282,8635,1235,3,9917,44,26294,2,1,0,60,4.87563702745874,37.7158287061687,0.760629801475622,16.7338556324637,12.9272965614601,3.33333333333333,1238,0.24232633279483,99.7576736672052
"1764","Stone",2020-08-26,169,2181,103,1,2350,65,12446,10,8,0,24,1.35786598103808,18.8815683753817,8.03470994697091,52.2256146553109,7.19148936170213,41.6666666666667,104,0.961538461538462,99.0384615384615
"1765","Union",2020-08-26,653,6710,564,20,7363,69,39732,3,5,-1,135,1.64351152723246,18.5316621363133,0.755058894593778,17.3663545756569,8.86866766263751,2.22222222222222,584,3.42465753424658,96.5753424657534
"1766","Van Buren",2020-08-26,106,2690,67,2,2796,37,16684,7,5,0,5,0.63533924718293,16.7585710860705,4.19563653800048,22.176935986574,3.79113018597997,140,69,2.89855072463768,97.1014492753623
"1767","Washington",2020-08-26,6659,49982,6412,55,56641,192,228529,28,15,0,258,2.91385338403441,24.7850382227201,1.22522743284222,8.40155953948952,11.7565014741971,10.8527131782946,6467,0.85047162517396,99.149528374826
"1768","White",2020-08-26,480,9459,374,10,9939,96,78804,8,8,1,61,0.609106136744328,12.6123039439622,1.01517689457388,12.1821227348866,4.82945970419559,13.1147540983607,384,2.60416666666667,97.3958333333333
