"","Date","Cases_African_American","Cases_Asian","Cases_Hispanic","Cases_Multi_Racial","Cases_Native_American","Cases_Pacific_Islander","Cases_White","Cases_Other","Cases_Race_Or_Ethnicity_Unknown","New_Cases_African_American","New_Cases_Asian","New_Cases_Hispanic","New_Cases_Multi_Racial","New_Cases_Native_American","New_Cases_Pacific_Islander","New_Cases_White","New_Cases_Other","New_Cases_Race_Or_Ethnicity_Unknown","Deaths_African_American","Deaths_Asian","Deaths_Hispanic","Deaths_Multi_Racial","Deaths_Native_American","Deaths_Pacific_Islander","Deaths_White","Deaths_Other","Deaths_Race_Or_Ethnicity_Unknown","New_Deaths_African_American","New_Deaths_Asian","New_Deaths_Hispanic","New_Deaths_Multi_Racial","New_Deaths_Native_American","New_Deaths_Pacific_Islander","New_Deaths_White","New_Deaths_Other","New_Deaths_Race_Or_Ethnicity_Unknown","Total_State_Population_African_American","Total_State_Population_Asian","Total_State_Population_Hispanic","Total_State_Population_Multi_Racial","Total_State_Population_Native_American","Total_State_Population_Pacific_Islander","Total_State_Population_White","Total_State_Population_Other","Total_State_Population_Race_Or_Ethnicity_Unknown","Pct_State_Population_African_American","Pct_State_Population_Asian","Pct_State_Population_Hispanic","Pct_State_Population_Multi_Racial","Pct_State_Population_Native_American","Pct_State_Population_Pacific_Islander","Pct_State_Population_White","Pct_State_Population_Other","Pct_State_Population_Race_Or_Ethnicity_Unknown","Cases_Per_10_000_African_American","Cases_Per_10_000_Asian","Cases_Per_10_000_Hispanic","Cases_Per_10_000_Multi_Racial","Cases_Per_10_000_Native_American","Cases_Per_10_000_Pacific_Islander","Cases_Per_10_000_White","Cases_Per_10_000_Other","Cases_Per_10_000_Race_Or_Ethnicity_Unknown","Deaths_Per_10_000_African_American","Deaths_Per_10_000_Asian","Deaths_Per_10_000_Hispanic","Deaths_Per_10_000_Multi_Racial","Deaths_Per_10_000_Native_American","Deaths_Per_10_000_Pacific_Islander","Deaths_Per_10_000_White","Deaths_Per_10_000_Other","Deaths_Per_10_000_Race_Or_Ethnicity_Unknown","Cases_Other_Race","Cases_Unknown_Race","Deaths_Other_Race","Deaths_Unknown_Race","Na","Deaths_Na","Objectid","Fips","Nonhispanic","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Male","Female","Unk_Gender","Diabetes","Cardiac_Disease","Hypertension","Cpd","Ckd","Immunocompromised","Healthcare","Nursing_Home","Jailed","Positives","Deaths_Nursing_Home","Deaths_Jailed","Deaths","Deaths_Nonhispanic","Cases_45_54","Deaths_45_54","Cases_55_64","Deaths_55_64","Cases_65","Deaths_65","Noncovid_Death","Pos_24Hr","Cases_Unknown","Deaths_Unknown"
"1:32","2020-10-30",22307,1152,17308,823,305,2460,66367,NA,NA,164,5,97,4,2,3,689,NA,NA,346,19,94,8,4,46,1253,NA,NA,2,0,0,0,0,0,5,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,470.8154371,224.548272,744.8433755,123.9607182,101.0670025,2037.942175,278.0255232,NA,NA,7.302736416,3.703487126,4.045255217,1.204964454,1.325468885,38.10786182,5.249084343,NA,NA,6455,11005,80,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:33","2020-10-29",22143,1147,17211,819,303,2457,65678,NA,NA,200,6,95,8,0,0,829,NA,NA,344,19,94,8,4,46,1248,NA,NA,0,0,1,0,0,0,19,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,467.3540244,223.5736702,740.6690164,123.3582359,100.404268,2035.45688,275.1391552,NA,NA,7.260524066,3.703487126,4.045255217,1.204964454,1.325468885,38.10786182,5.228138276,NA,NA,6407,10758,80,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:34","2020-10-28",21943,1141,17116,811,303,2457,64849,NA,NA,185,6,107,11,0,7,772,NA,NA,344,19,93,8,4,46,1229,NA,NA,2,0,0,0,0,0,18,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,463.1327895,222.4041479,736.5807265,122.1532715,100.404268,2035.45688,271.6662973,NA,NA,7.260524066,3.703487126,4.002220587,1.204964454,1.325468885,38.10786182,5.148543222,NA,NA,6374,10762,79,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:35","2020-10-27",21758,1135,17009,800,303,2450,64077,NA,NA,225,11,132,9,7,4,913,NA,NA,342,19,93,8,4,46,1211,NA,NA,2,0,1,0,0,0,24,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,459.2281472,221.2346257,731.9760211,120.4964454,100.404268,2029.657858,268.4322246,NA,NA,7.218311717,3.703487126,4.002220587,1.204964454,1.325468885,38.10786182,5.073137381,NA,NA,6321,10835,79,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:36","2020-10-26",21533,1124,16877,791,296,2446,63164,NA,NA,88,3,44,1,2,13,333,NA,NA,340,19,92,8,4,46,1187,NA,NA,2,0,0,0,0,0,19,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,454.4792579,219.0905015,726.2954499,119.1408603,98.08469746,2026.344131,264.6074728,NA,NA,7.176099368,3.703487126,3.959185957,1.204964454,1.325468885,38.10786182,4.972596261,NA,NA,6275,11098,79,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:37","2020-10-25",21445,1121,16833,790,294,2433,62831,NA,NA,127,1,45,2,0,0,428,NA,NA,338,19,92,8,4,46,1168,NA,NA,0,0,0,0,0,1,11,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,452.6219145,218.5057404,724.4019262,118.9902398,97.42196302,2015.574517,263.2124648,NA,NA,7.133887019,3.703487126,3.959185957,1.204964454,1.325468885,38.10786182,4.893001207,NA,NA,6255,10946,79,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:38","2020-10-24",21318,1120,16788,788,294,2433,62403,NA,NA,137,2,79,6,9,2,623,NA,NA,338,19,92,8,4,45,1157,NA,NA,0,0,-1,0,0,0,13,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,449.9414304,218.31082,722.4653679,118.6889987,97.42196302,2015.574517,261.4194814,NA,NA,7.133887019,3.703487126,3.959185957,1.204964454,1.325468885,37.27943004,4.84691986,NA,NA,6240,10722,79,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:39","2020-10-23",21181,1118,16709,782,285,2431,61780,NA,NA,192,10,67,9,3,8,806,NA,NA,338,19,93,8,4,45,1144,NA,NA,0,0,0,0,0,0,9,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,447.0498844,217.9209793,719.0656321,117.7852753,94.43965803,2013.917654,258.8096015,NA,NA,7.133887019,3.703487126,4.002220587,1.204964454,1.325468885,37.27943004,4.792460086,NA,NA,6206,10352,79,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:40","2020-10-22",20989,1108,16642,773,282,2423,60974,NA,NA,308,12,136,13,2,3,960,NA,NA,338,19,93,8,4,45,1135,NA,NA,5,1,1,0,1,0,17,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,442.9974989,215.9717755,716.1823119,116.4296903,93.44555637,2007.2902,255.4330955,NA,NA,7.133887019,3.703487126,4.002220587,1.204964454,1.325468885,37.27943004,4.754757166,NA,NA,6149,10100,79,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:41","2020-10-21",20681,1096,16506,760,280,2420,60014,NA,NA,288,3,118,4,4,6,908,NA,NA,333,18,92,8,3,45,1118,NA,NA,7,0,1,0,0,0,16,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,436.4967971,213.632731,710.3296022,114.4716231,92.78282192,2004.804904,251.4114507,NA,NA,7.028356146,3.50856675,3.959185957,1.204964454,0.994101663,37.27943004,4.683540539,NA,NA,6105,10240,79,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:42","2020-10-20",20393,1093,16388,756,276,2414,59106,NA,NA,167,11,70,14,3,2,588,NA,NA,326,18,91,8,3,45,1102,NA,NA,4,0,0,0,0,0,9,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,430.4182188,213.0479699,705.2515159,113.8691409,91.45735304,1999.834314,247.607645,NA,NA,6.880612923,3.50856675,3.916151327,1.204964454,0.994101663,37.27943004,4.616513125,NA,NA,6035,10368,79,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:43","2020-10-19",20226,1082,16318,742,273,2412,58518,NA,NA,88,6,39,3,1,0,371,NA,NA,322,18,91,8,3,45,1093,NA,NA,1,0,0,0,1,0,7,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,426.8934877,210.9038458,702.2390918,111.7604531,90.46325138,1998.17745,245.1443875,NA,NA,6.796188225,3.50856675,3.916151327,1.204964454,0.994101664,37.27943004,4.578810205,NA,NA,6023,10321,76,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:44","2020-10-18",20138,1076,16279,739,272,2412,58147,NA,NA,95,2,42,4,2,-1,329,NA,NA,321,18,91,8,2,45,1086,NA,NA,1,0,0,0,0,0,18,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,425.0361443,209.7343235,700.5607412,111.3085914,90.13188415,1998.17745,243.5901894,NA,NA,6.77508205,3.50856675,3.916151327,1.204964454,0.662734442,37.27943004,4.549485711,NA,NA,6006,10276,76,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:45","2020-10-17",20043,1074,16237,735,270,2413,57818,NA,NA,160,5,76,4,4,6,647,NA,NA,320,18,91,8,2,45,1068,NA,NA,2,0,0,0,0,0,10,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,423.0310577,209.3444828,698.7532868,110.7061092,89.46914971,1999.005882,242.2119382,NA,NA,6.753975876,3.50856675,3.916151327,1.204964454,0.662734442,37.27943004,4.474079871,NA,NA,5998,10071,75,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:46","2020-10-16",19883,1069,16161,731,266,2407,57171,NA,NA,150,5,77,6,8,3,585,NA,NA,318,18,91,8,2,45,1058,NA,NA,1,0,0,1,0,0,18,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,419.6540698,208.3698809,695.4826549,110.1036269,88.14368083,1994.035291,239.5015171,NA,NA,6.711763526,3.50856675,3.916151327,1.204964454,0.662734442,37.27943004,4.432187737,NA,NA,5970,10042,73,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:47","2020-10-15",19733,1064,16084,725,258,2404,56586,NA,NA,184,4,119,5,4,4,865,NA,NA,317,18,91,7,2,45,1040,NA,NA,1,0,0,0,0,0,12,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,416.4881436,207.395279,692.1689884,109.1999036,85.49274306,1991.549996,237.0508273,NA,NA,6.690657352,3.50856675,3.916151327,1.054343897,0.662734442,37.27943004,4.356781897,NA,NA,5933,9821,73,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:48","2020-10-14",19549,1060,15965,720,254,2400,55721,NA,NA,150,5,65,1,5,1,687,NA,NA,316,18,91,7,2,45,1028,NA,NA,1,0,1,0,0,0,19,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,412.6046075,206.6155975,687.0478674,108.4468008,84.16727417,1988.236269,233.4271577,NA,NA,6.669551177,3.50856675,3.916151327,1.054343897,0.662734442,37.27943004,4.306511336,NA,NA,5870,9672,73,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:49","2020-10-13",19399,1055,15900,719,249,2399,55034,NA,NA,144,6,79,11,0,1,686,NA,NA,315,18,90,7,2,45,1009,NA,NA,5,1,0,0,0,0,29,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,409.4386813,205.6409957,684.2506165,108.2961803,82.51043807,1987.407837,230.5491682,NA,NA,6.648445003,3.50856675,3.873116697,1.054343897,0.662734442,37.27943004,4.226916282,NA,NA,5848,9464,74,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:50","2020-10-12",19255,1049,15821,708,249,2398,54348,NA,NA,116,5,62,2,1,-1,495,NA,NA,310,17,90,7,2,45,980,NA,NA,4,1,0,0,0,0,11,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,406.3993921,204.4714734,680.8508807,106.6393541,82.51043807,1986.579405,227.6753678,NA,NA,6.54291413,3.313646375,3.873116697,1.054343897,0.662734442,37.27943004,4.105429095,NA,NA,5830,9650,71,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:51","2020-10-11",19139,1044,15759,706,248,2399,53853,NA,NA,113,3,37,3,0,3,329,NA,NA,306,16,90,7,2,45,969,NA,NA,2,0,0,0,0,1,13,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,403.9510759,203.4968715,678.1827336,106.338113,82.17907085,1987.407837,225.6017072,NA,NA,6.458489431,3.118726,3.873116697,1.054343897,0.662734442,37.27943004,4.059347748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:52","2020-10-10",19026,1041,15722,703,248,2396,53524,NA,NA,111,7,55,2,2,4,442,NA,NA,304,16,90,7,2,44,956,NA,NA,2,0,0,0,0,0,17,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,401.5660782,202.9121104,676.5904523,105.8862514,82.17907085,1984.922542,224.223456,NA,NA,6.416277082,3.118726,3.873116697,1.054343897,0.662734442,36.45099826,4.004887974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:53","2020-10-09",18915,1034,15667,701,246,2392,53082,NA,NA,161,13,94,9,5,6,768,NA,NA,302,16,90,7,2,44,939,NA,NA,4,0,0,0,0,0,18,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,399.2232928,201.5476678,674.2235477,105.5850102,81.5163364,1981.608815,222.3718237,NA,NA,6.374064733,3.118726,3.873116697,1.054343897,0.662734442,36.45099826,3.933671347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:54","2020-10-08",18754,1021,15573,692,241,2386,52314,NA,NA,165,7,68,5,7,1,747,NA,NA,298,16,90,7,2,44,921,NA,NA,5,0,1,0,0,0,14,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,395.8251987,199.0137029,670.1782925,104.2294252,79.8595003,1976.638224,219.1545078,NA,NA,6.289640034,3.118726,3.873116697,1.054343897,0.662734442,36.45099826,3.858265506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:55","2020-10-07",18589,1014,15505,687,234,2385,51567,NA,NA,181,6,72,7,1,3,624,NA,NA,293,16,89,7,2,44,907,NA,NA,4,0,0,0,0,0,10,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,392.3426799,197.6492603,667.2519376,103.4763224,77.53992975,1975.809792,216.0251654,NA,NA,6.184109161,3.118726,3.830082067,1.054343897,0.662734442,36.45099826,3.799616519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:56","2020-10-06",18408,1008,15433,680,233,2382,50943,NA,NA,151,4,73,12,2,5,574,NA,NA,289,16,89,7,2,44,897,NA,NA,4,0,1,0,0,1,17,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,388.5224622,196.479738,664.1534443,102.4219786,77.20856253,1973.324497,213.4110963,NA,NA,6.099684463,3.118726,3.830082067,1.054343897,0.662734442,36.45099826,3.757724386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:57","2020-10-05",18257,1004,15360,668,231,2377,50369,NA,NA,62,6,28,5,0,3,241,NA,NA,285,16,88,7,2,43,880,NA,NA,2,0,0,0,0,0,18,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,385.3354299,195.7000565,661.0119163,100.6145319,76.54582809,1969.182338,211.0064878,NA,NA,6.015259764,3.118726,3.787047437,1.054343897,0.662734442,35.62256648,3.686507759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:58","2020-10-04",18195,998,15332,663,231,2374,50128,NA,NA,94,6,33,2,-1,2,294,NA,NA,283,16,88,7,2,43,862,NA,NA,4,0,0,0,0,0,12,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,384.0268471,194.5305343,659.8069466,99.86142909,76.54582809,1966.697042,209.9968874,NA,NA,5.973047415,3.118726,3.787047437,1.054343897,0.662734442,35.62256648,3.611101918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:59","2020-10-03",18101,992,15299,661,232,2372,49834,NA,NA,237,7,99,8,5,14,778,NA,NA,279,16,88,7,2,43,850,NA,NA,4,0,1,0,0,0,14,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,382.0428666,193.361012,658.3868039,99.56018797,76.87719531,1965.040179,208.7652587,NA,NA,5.888622717,3.118726,3.787047437,1.054343897,0.662734442,35.62256648,3.560831358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:60","2020-10-02",17864,985,15200,653,227,2358,49056,NA,NA,180,13,64,11,6,4,678,NA,NA,275,16,87,7,2,43,836,NA,NA,2,0,0,0,0,0,5,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,377.0407033,191.9965694,654.1263755,98.35522352,75.2203592,1953.442134,205.5060507,NA,NA,5.804198018,3.118726,3.744012807,1.054343897,0.662734442,35.62256648,3.502182371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:61","2020-10-01",17684,972,15136,642,221,2354,48378,NA,NA,157,7,64,3,1,4,762,NA,NA,273,16,87,7,2,43,831,NA,NA,5,0,0,0,0,0,8,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,373.2415918,189.4626045,651.3721592,96.6983974,73.23215588,1950.128407,202.665764,NA,NA,5.761985669,3.118726,3.744012807,1.054343897,0.662734442,35.62256648,3.481236304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:62","2020-09-30",17527,965,15072,639,220,2350,47616,NA,NA,158,16,84,4,3,7,687,NA,NA,268,16,87,7,2,43,823,NA,NA,4,0,0,0,0,0,14,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,369.9279224,188.0981619,648.6179429,96.24653573,72.90078865,1946.81468,199.4735834,NA,NA,5.656454796,3.118726,3.744012807,1.054343897,0.662734442,35.62256648,3.447722597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
