"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"53","Arkansas_all_counties",2020-07-26,3017804,1.27983792187962,2.12737474004276,21.8702076079162,6600,38623,642,31622,539,401,2,32023,1.25222496330762,98.7477750366924,480,1,2581,39,38,7.27272727272727,103,360,2,21.4583333333333
"54","Arkansas_all_counties",2020-07-25,3017804,1.25856417447919,2.42560484378707,21.5355271581587,6499,37981,732,31083,1256,399,5,31482,1.2673908900324,98.7326091099676,479,-18,2542,53,71,7.37036467148792,104,358,7,21.7118997912317
"55","Arkansas_all_counties",2020-07-24,3017804,1.23430812604132,3.28053114118743,23.2884574346114,7028,37249,990,29827,963,394,8,30221,1.30372919493068,98.6962708050693,497,17,2489,68,51,7.07171314741036,109,351,NA,21.9315895372233
"56","Arkansas_all_counties",2020-07-23,3017804,1.20150281462945,3.3567455010332,23.2254977460431,7009,36259,1013,28864,874,386,6,29250,1.31965811965812,98.6803418803419,480,6,2421,60,54,6.848337851334,107,NA,NA,22.2916666666667
"57","Arkansas_all_counties",2020-07-22,3017804,1.16793535961911,1.95837768125432,22.7847799260654,6876,35246,591,27990,707,380,6,28370,1.33944307366937,98.6605569263306,474,-14,2361,44,58,6.8935427574171,107,329,6,22.5738396624473
"58","Arkansas_all_counties",2020-07-21,3017804,1.14835158280657,2.41235017250955,23.18904740003,6998,34655,728,27283,886,374,11,27657,1.3522797121886,98.6477202878114,488,17,2317,60,43,6.97342097742212,110,323,7,22.5409836065574
"59","Arkansas_all_counties",2020-07-20,3017804,1.12422808108148,2.31625380574749,23.7490572615054,7167,33927,699,26397,545,363,6,26760,1.35650224215247,98.6434977578475,471,18,2257,55,37,6.5717873587275,111,316,7,23.5668789808917
"60","Arkansas_all_counties",2020-07-19,3017804,1.101065543024,2.30299913446997,23.258634424237,7019,33228,695,25852,560,357,0,26209,1.36212751344958,98.6378724865504,453,0,2202,25,25,6.4539108135062,105,309,2,23.1788079470199
"61","Arkansas_all_counties",2020-07-18,3017804,1.0780355516793,2.55483788874294,22.8112892686205,6884,32533,771,25292,516,357,4,25649,1.39186712932278,98.6081328706772,453,-11,2177,42,53,6.58047646717025,97,307,3,21.4128035320088
"62","Arkansas_all_counties",2020-07-17,3017804,1.05248717279187,2.14725674695905,21.9795586459558,6633,31762,648,24776,581,353,12,25129,1.40475148235107,98.5952485176489,464,-6,2135,65,71,6.99532639831147,97,304,6,20.9051724137931
"63","Arkansas_all_counties",2020-07-16,3017804,1.03101460532228,2.70726660843448,21.7973069158898,6578,31114,817,24195,672,341,6,24536,1.38979458754483,98.6102054124552,470,12,2070,76,64,7.14502888415932,101,298,12,21.4893617021277
"64","Arkansas_all_counties",2020-07-15,3017804,1.00394193923794,1.86890865013102,21.3367070889958,6439,30297,564,23523,679,335,4,23858,1.40414116858077,98.5958588314192,458,13,1994,46,33,7.11290573070353,94,286,7,20.5240174672489
"65","Arkansas_all_counties",2020-07-14,3017804,0.985252852736626,2.63105224858871,21.7310335595022,6558,29733,794,22844,738,331,8,23175,1.42826321467098,98.571736785329,445,6,1948,76,70,6.78560536749009,91,279,6,20.4494382022472
"66","Arkansas_all_counties",2020-07-13,3017804,0.958942330250739,1.89541799268607,21.5719775041719,6510,28939,572,22106,515,323,2,22429,1.44009987070311,98.5599001292969,439,19,1872,36,17,6.74347158218126,89,273,4,20.2733485193622
"67","Arkansas_all_counties",2020-07-12,3017804,0.939988150323878,1.66677491314877,21.3897257741059,6455,28367,503,21591,401,321,2,21912,1.46495071193866,98.5350492880613,420,8,1836,14,6,6.50658404337723,82,269,3,19.5238095238095
"68","Arkansas_all_counties",2020-07-11,3017804,0.92332040119239,3.5158015563635,21.0583589921678,6355,27864,1061,21190,548,319,6,21509,1.48310009763355,98.5168999023664,412,10,1822,42,32,6.48308418568057,84,266,1,20.3883495145631
"69","Arkansas_all_counties",2020-07-10,3017804,0.888162385628755,2.48856453235532,19.3783294077415,5848,26803,751,20642,650,313,4,20955,1.49367692674779,98.5063230732522,402,8,1780,37,29,6.87414500683995,84,265,5,20.8955223880597
"70","Arkansas_all_counties",2020-07-09,3017804,0.863276740305202,2.67081626242128,19.0569036292615,5751,26052,806,19992,596,309,4,20301,1.52209250775824,98.4779074922418,394,36,1743,38,2,6.8509824378369,82,260,6,20.8121827411168
