"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent","Negative","Number_Tested","New_Tests_Dashboard","Tested_Population","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard"
"44","Arkansas_all_counties",2020-07-31,3017804,1.40867332669716,2.4918782001747,22.0193226597884,6645,42511,752,35413,676,453,11,35866,1.26303462889645,98.7369653711036,507,3,2852,47,44,7.62979683972912,100,395,3,19.723865877712,NA,NA,NA,NA,NA,NA
"45","Arkansas_all_counties",2020-07-30,3017804,1.38375454469541,2.62111124513057,21.8039342515286,6580,41759,791,34737,799,442,8,35179,1.25643139372921,98.7435686062708,504,-4,2805,58,62,7.65957446808511,101,392,5,20.0396825396825,460958,502717,7112,16.6583714515588,8.30666160086092,11.1220472440945
"46","Arkansas_all_counties",2020-07-29,3017804,1.35754343224411,2.60785657385304,21.8569529366387,6596,40968,787,33938,750,434,6,34372,1.26265564994763,98.7373443500524,508,7,2747,61,54,7.70163735597332,108,387,10,21.259842519685,454637,495605,5699,16.4227033962444,8.26626042917243,13.8094402526759
"47","Arkansas_all_counties",2020-07-28,3017804,1.33146486650558,2.43223217942583,21.7542292342379,6565,40181,734,33188,823,428,20,33616,1.27320323655402,98.726796763446,501,12,2686,62,50,7.63137852246763,110,377,8,21.9560878243513,449725,489906,5015,16.2338574672179,8.20177748384384,14.6360917248255
"48","Arkansas_all_counties",2020-07-27,3017804,1.30714254471132,2.73046228317015,22.1154190265504,6674,39447,824,32365,743,408,7,32773,1.2449272266805,98.7550727733195,489,9,2624,43,34,7.32694036559784,110,369,9,22.4948875255624,445444,484891,7624,16.0676770260759,8.135230391985,10.8079748163694
"49","Arkansas_all_counties",2020-07-26,3017804,1.27983792187962,2.12737474004276,21.8702076079162,6600,38623,642,31622,539,401,2,32023,1.25222496330762,98.7477750366924,480,1,2581,39,38,7.27272727272727,103,360,2,21.4583333333333,438644,477267,6869,15.8150429915263,8.09253520566056,9.34633862279808
"50","Arkansas_all_counties",2020-07-25,3017804,1.25856417447919,2.42560484378707,21.5355271581587,6499,37981,732,31083,1256,399,5,31482,1.2673908900324,98.7326091099676,479,-18,2542,53,71,7.37036467148792,104,358,7,21.7118997912317,432417,470398,8934,15.587427149013,8.07422650606508,8.19341840161182
"51","Arkansas_all_counties",2020-07-24,3017804,1.23430812604132,3.28053114118743,23.2884574346114,7028,37249,990,29827,963,394,8,30221,1.30372919493068,98.6962708050693,497,17,2489,68,51,7.07171314741036,109,351,NA,21.9315895372233,424215,461464,7780,15.2913840660295,8.07191893625505,12.7249357326478
"52","Arkansas_all_counties",2020-07-23,3017804,1.20150281462945,3.3567455010332,23.2254977460431,7009,36259,1013,28864,874,386,6,29250,1.31965811965812,98.6803418803419,480,6,2421,60,54,6.848337851334,107,NA,NA,22.2916666666667,417425,453684,8217,15.0335807096816,7.99212667848106,12.3281002799075
"53","Arkansas_all_counties",2020-07-22,3017804,1.16793535961911,1.95837768125432,22.7847799260654,6876,35246,591,27990,707,380,6,28370,1.33944307366937,98.6605569263306,474,-14,2361,44,58,6.8935427574171,107,329,6,22.5738396624473,410221,445467,5832,14.7612966249631,7.91214612979188,10.1337448559671
"54","Arkansas_all_counties",2020-07-21,3017804,1.14835158280657,2.41235017250955,23.18904740003,6998,34655,728,27283,886,374,11,27657,1.3522797121886,98.6477202878114,488,17,2317,60,43,6.97342097742212,110,323,7,22.5409836065574,404980,439635,6819,14.5680435177367,7.88267540118507,10.6760522070685
"55","Arkansas_all_counties",2020-07-20,3017804,1.12422808108148,2.31625380574749,23.7490572615054,7167,33927,699,26397,545,363,6,26760,1.35650224215247,98.6434977578475,471,18,2257,55,37,6.5717873587275,111,316,7,23.5668789808917,398889,432816,7359,14.3420845091331,7.83866585338805,9.49857317570322
"56","Arkansas_all_counties",2020-07-19,3017804,1.101065543024,2.30299913446997,23.258634424237,7019,33228,695,25852,560,357,0,26209,1.36212751344958,98.6378724865504,453,0,2202,25,25,6.4539108135062,105,309,2,23.1788079470199,392229,425457,6286,14.0982316943049,7.80995494256764,11.0563156220172
"57","Arkansas_all_counties",2020-07-18,3017804,1.0780355516793,2.55483788874294,22.8112892686205,6884,32533,771,25292,516,357,4,25649,1.39186712932278,98.6081328706772,453,-11,2177,42,53,6.58047646717025,97,307,3,21.4128035320088,386638,419171,6166,13.8899345351786,7.76127165285766,12.5040544923776
"58","Arkansas_all_counties",2020-07-17,3017804,1.05248717279187,2.14725674695905,21.9795586459558,6633,31762,648,24776,581,353,12,25129,1.40475148235107,98.5952485176489,464,-6,2135,65,71,6.99532639831147,97,304,6,20.9051724137931,381243,413005,6156,13.6856137774355,7.69046379583782,10.5263157894737
"59","Arkansas_all_counties",2020-07-16,3017804,1.03101460532228,2.70726660843448,21.7973069158898,6578,31114,817,24195,672,341,6,24536,1.38979458754483,98.6102054124552,470,12,2070,76,64,7.14502888415932,101,298,12,21.4893617021277,375735,406849,6705,13.4816243864744,7.64755474389761,12.1849366144668
"60","Arkansas_all_counties",2020-07-15,3017804,1.00394193923794,1.86890865013102,21.3367070889958,6439,30297,564,23523,679,335,4,23858,1.40414116858077,98.5958588314192,458,13,1994,46,33,7.11290573070353,94,286,7,20.5240174672489,369847,400144,4932,13.2594429591849,7.57152425126954,11.4355231143552
"61","Arkansas_all_counties",2020-07-14,3017804,0.985252852736626,2.63105224858871,21.7310335595022,6558,29733,794,22844,738,331,8,23175,1.42826321467098,98.571736785329,445,6,1948,76,70,6.78560536749009,91,279,6,20.4494382022472,365479,395212,5707,13.096012862333,7.52330394826068,13.9127387418959
"62","Arkansas_all_counties",2020-07-13,3017804,0.958942330250739,1.89541799268607,21.5719775041719,6510,28939,572,22106,515,323,2,22429,1.44009987070311,98.5599001292969,439,19,1872,36,17,6.74347158218126,89,273,4,20.2733485193622,360566,389505,7103,12.9069018398809,7.42968639683701,8.05293537941715
