"","county_nam","fhwa_numbe","FIPS","positive","negative","pending","lab_prvt","lab_pub","Recoveries","deaths","total_tests","lcase_name","pos_range","neg_range","border_report","active_cases","POP_5YR_EST_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","Shape__Area","Shape__Length","mydate"
"73","Izard",65,65,133,3017,0,1577,1573,117,0,3157,"izard",133,3017,"Not Applicable",16,"13559",129,4,3006,11,113,4,0,0,16,0,3135,22,129,3006,11,11,140,3017,1511354352.72925,187594.839051617,2020-09-15
"74","Fulton",49,49,104,1042,0,829,317,84,2,1147,"fulton",104,1042,"https://bit.ly/2T74BCM",18,"12139",101,3,1041,1,83,1,1,1,17,1,1142,5,101,1041,4,1,105,1042,1606270810.8877,180201.700547134,2020-09-15
"75","Stone",137,137,283,2872,0,1992,1163,226,5,3157,"stone",283,2872,"Not Applicable",52,"12446",276,7,2863,9,219,7,5,0,52,0,3139,18,276,2863,9,9,285,2872,1577804238.83069,206836.754761377,2020-09-15
"76","Boone",9,9,553,7981,0,6674,1860,403,5,8535,"boone",553,7981,"https://bit.ly/2T74BCM",145,"37288",541,12,7968,13,395,8,5,0,141,4,8509,26,541,7968,13,13,554,7981,1557916143.12292,169603.300267447,2020-09-15
"77","Missing County Info",5,5,1628,26840,0,28277,191,1037,0,28454,"missing",1628,26840,"Not Applicable",591,NA,1450,178,25561,1279,898,139,0,0,552,39,27011,1443,1450,25561,164,1279,1614,26840,11297.6600341797,8800.43873569405,2020-09-14
"78","Howard",61,61,448,3370,0,2755,1063,426,8,3822,"howard",448,3370,"Not Applicable",14,"13389",446,2,3365,5,424,2,8,0,14,0,3811,11,446,3365,6,5,452,3370,1541631052.86731,247879.823488919,2020-09-14
"79","Pulaski",119,119,8130,108512,0,96879,19763,7328,121,116710,"pulaski",8130,108512,"Not Applicable",681,"393463",7962,168,107155,1357,7202,126,120,1,640,41,115117,1593,7962,107155,236,1357,8198,108512,2089380947.64233,284069.084631858,2020-09-14
"80","Lonoke",85,85,930,14975,0,13405,2500,828,7,15946,"lonoke",930,14975,"Not Applicable",95,"72206",846,84,14162,813,763,65,7,0,76,19,15008,938,846,14162,125,813,971,14975,2079903589.05444,246137.911494215,2020-09-14
"81","Prairie",117,117,131,1742,0,1498,375,122,1,1875,"prairie",131,1742,"Not Applicable",8,"8244",127,4,1712,30,118,4,1,0,8,0,1839,36,127,1712,6,30,133,1742,1748665963.44409,269110.445244305,2020-09-14
"82","Desha",41,41,260,3242,0,2950,552,241,5,3502,"desha",260,3242,"https://bit.ly/2T74BCM",14,"11887",259,1,3224,18,241,0,5,0,13,1,3483,19,259,3224,1,18,260,3242,2100180171.29761,393743.785753218,2020-09-14
"83","Phillips",107,107,434,5487,0,3698,2223,409,11,5923,"phillips",434,5487,"https://bit.ly/2T74BCM",14,"19034",432,2,5460,27,407,2,11,0,14,0,5892,31,432,5460,4,27,436,5487,1885264368.20239,280421.016626451,2020-09-14
"84","Searcy",129,129,128,1646,0,1469,305,119,0,1773,"searcy",128,1646,"Not Applicable",9,"7923",125,3,1630,16,116,3,0,0,9,0,1755,18,125,1630,2,16,127,1646,1729575196.3103,184103.839471151,2020-09-14
"85","Independence",63,63,911,9059,0,8194,1776,819,12,9979,"independence",911,9059,"Not Applicable",80,"37264",874,37,9040,19,786,33,12,0,76,4,9914,65,874,9040,46,19,920,9059,1997479703.64404,228003.580116565,2020-09-14
"86","Jackson",67,67,243,5533,0,1259,4517,199,1,5791,"jackson",243,5533,"Not Applicable",43,"17225",233,10,5523,10,193,6,1,0,39,4,5756,35,233,5523,25,10,258,5533,1661121959.66943,241190.808602371,2020-09-14
"87","Mississippi",93,93,1506,10384,0,8925,2965,1378,37,11890,"mississippi",1506,10384,"https://bit.ly/2T74BCM",91,"42831",1498,8,10381,3,1372,6,37,0,89,2,11879,11,1498,10381,8,3,1506,10384,2397434695.37231,293377.92435692,2020-09-14
"88","Greene",55,55,718,11050,0,9848,1920,647,7,11772,"greene",718,11050,"https://bit.ly/2T74BCM",64,"44623",714,4,11037,13,645,2,7,0,62,2,11751,21,714,11037,8,13,722,11050,1501198851.64258,195400.850739011,2020-09-14
"89","Clay",21,21,236,3370,0,3161,445,195,5,3606,"clay",236,3370,"https://bit.ly/2T74BCM",35,"15061",233,3,3367,3,193,2,5,0,34,1,3600,6,233,3367,3,3,236,3370,1662039088.03271,230200.839663875,2020-09-14
"90","Randolph",121,121,341,3986,0,3476,851,303,18,4330,"randolph",341,3986,"https://bit.ly/2T74BCM",20,"17603",335,6,3973,13,300,3,18,0,17,3,4308,22,335,3973,9,13,344,3986,1698810411.33374,217781.913013329,2020-09-14
"91","Lawrence",75,75,313,3367,0,2958,722,257,11,3682,"lawrence",313,3367,"Not Applicable",45,"16669",294,19,3360,7,246,11,11,0,37,8,3654,28,294,3360,21,7,315,3367,1533933452.90283,208244.792392098,2020-09-14
