"","Date","County_Name","Total_Positives","Total_Deaths","New_Deaths_7_Day_Avg","New_Deaths_Today","Cases_Per_Death","Clean_New_Deaths_Today"
"133",2020-08-18,"Arkansas_all_counties",53487,619,7.6,16,86.4087237479806,16
"134",2020-08-19,"Arkansas_all_counties",54216,631,8.3,12,85.9207606973059,12
"135",2020-08-20,"Arkansas_all_counties",54765,641,8.4,10,85.4368174726989,10
"136",2020-08-21,"Arkansas_all_counties",55652,663,10.9,22,83.9396681749623,22
"137",2020-08-22,"Arkansas_all_counties",56199,674,10.6,11,83.3813056379822,11
"138",2020-08-23,"Arkansas_all_counties",56574,687,12.6,13,82.3493449781659,13
"139",2020-08-24,"Arkansas_all_counties",56894,696,13.3,9,81.7442528735632,9
"140",2020-08-25,"Arkansas_all_counties",57374,711,13.1,15,80.6947960618847,15
"141",2020-08-26,"Arkansas_all_counties",58023,732,14.4,21,79.266393442623,21
"142",2020-08-27,"Arkansas_all_counties",58745,739,14,7,79.4925575101489,7
"143",2020-08-28,"Arkansas_all_counties",59583,756,13.3,17,78.8134920634921,17
"144",2020-08-29,"Arkansas_all_counties",60378,772,14,16,78.2098445595855,16
"145",2020-08-30,"Arkansas_all_counties",60856,784,13.9,12,77.6224489795918,12
"146",2020-08-31,"Arkansas_all_counties",61224,797,14.4,13,76.8180677540778,13
"147",2020-09-01,"Arkansas_all_counties",61497,814,14.7,17,75.54914004914,17
"148",2020-09-02,"Arkansas_all_counties",62490,841,15.6,27,74.3043995243757,27
"149",2020-09-03,"Arkansas_all_counties",63504,861,17.4,20,73.7560975609756,20
"150",2020-09-04,"Arkansas_all_counties",64678,873,16.7,12,74.0870561282932,12
"151",2020-09-05,"Arkansas_all_counties",65226,882,15.7,9,73.9523809523809,9
"152",2020-09-06,"Arkansas_all_counties",65924,894,15.7,12,73.7404921700224,12
"153",2020-09-07,"Arkansas_all_counties",66280,908,15.9,14,72.9955947136564,14
"154",2020-09-08,"Arkansas_all_counties",66757,917,14.7,9,72.7993456924755,9
"155",2020-09-09,"Arkansas_all_counties",67255,928,12.4,11,72.4730603448276,11
"156",2020-09-10,"Arkansas_all_counties",67803,940,11.3,12,72.1308510638298,12
"157",2020-09-11,"Arkansas_all_counties",68983,953,11.4,13,72.3850996852046,13
"158",2020-09-12,"Arkansas_all_counties",69710,964,11.7,11,72.3132780082988,11
"159",2020-09-13,"Arkansas_all_counties",70219,981,11.7,12,71.579001019368,12
"160",2020-09-14,"Arkansas_all_counties",70627,992,11.1,10,71.1965725806452,10
"161",2020-09-15,"Arkansas_all_counties",71357,1010,12.3,17,70.650495049505,17
"162",2020-09-16,"Arkansas_all_counties",72219,1157,11.7,7,62.419187554019,7
"163",2020-09-17,"Arkansas_all_counties",73211,1166,11.1,8,62.7881646655232,8
"164",2020-09-18,"Arkansas_all_counties",74082,1173,10.3,7,63.156010230179,7
"165",2020-09-19,"Arkansas_all_counties",75160,1181,9.9,8,63.6409822184589,8
"166",2020-09-20,"Arkansas_all_counties",75723,1181,8.1,0,64.1176968670618,0
"167",2020-09-21,"Arkansas_all_counties",76364,1197,9,16,63.796157059315,16
"168",2020-09-22,"Arkansas_all_counties",76981,1209,8.3,12,63.6732837055418,12
"169",2020-09-23,"Arkansas_all_counties",77963,1229,10.1,20,63.4361269324654,20
"170",2020-09-24,"Arkansas_all_counties",79049,1246,11.4,17,63.4422150882825,17
"171",2020-09-25,"Arkansas_all_counties",79946,1266,13.3,20,63.1484992101106,20
"172",2020-09-26,"Arkansas_all_counties",80755,1285,14.9,19,62.8443579766537,19
"173",2020-09-27,"Arkansas_all_counties",81242,1308,18.1,23,62.111620795107,23
"174",2020-09-28,"Arkansas_all_counties",82049,1329,18.9,21,61.7373965387509,21
"175",2020-09-29,"Arkansas_all_counties",82755,1350,20.1,21,61.3,21
