"","Date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct","Full_Pct","V1"
"1:68","2021-10-15","Van Buren",12782,6751,5893,2,631,6120,11781,39.9,80,28.8,31,25,9.5,3,667,195,273,5,30.5,14547,46.4,40.5,3.7,7.2,2,6,17.6,"42.1%",NA
"1:69","2021-10-15","Cleburne",20246,10916,9013,4,1261,9655,17615,39.2,64,20.8,37,98,9.6,6,2056,370,314,6,31.2,21965,49.7,41,4.6,3.5,2.3,6,35,"44.0%",NA
"1:70","2021-10-15","Poinsett",19367,10665,8330,6,1966,8699,16741,41.8,1313,36.6,22,62,10,5,826,398,450,8,36.3,19810,53.8,42,9.1,9.4,3.3,6,35.3,"43.9%",NA
"1:71","2021-10-15","Craighead",96926,51910,40539,70,9263,42647,76548,44.6,9743,30.4,163,1613,12.3,72,4752,4035,3645,15,36.7,91830,56.5,44.1,8.8,7.9,6.4,16,57.3,"46.4%",NA
"1:72","2021-10-15","Sharp",11761,6569,5035,1,1325,5244,10781,32.7,30,9,23,50,7.3,2,762,113,172,0,24.3,15166,43.3,33.2,8.1,0,0,4,20.2,"34.6%",NA
"1:73","2021-10-15","Izard",9210,5017,4099,4,696,4321,8486,34.3,26,3.9,14,22,7.8,4,487,171,81,4,12,12084,41.5,33.9,5.4,0.6,0,6,17.2,"35.8%",NA
"1:74","2021-10-15","Fulton",6782,3731,2963,1,538,3193,5967,26.7,26,7.1,9,7,3.4,0,699,74,73,1,19.9,10804,34.5,27.4,3.9,8,3.4,2,7,"29.6%",NA
"1:75","2021-10-15","Stone",8527,4552,3886,3,518,4034,7750,34.2,32,24.3,23,11,8.9,4,550,157,116,6,28.9,10998,41.4,35.3,4.1,0,2.7,0,14.3,"36.7%",NA
"1:76","2021-10-15","Boone",27356,14507,11789,9,2361,12146,23894,34.2,89,22.2,46,150,5.8,12,1994,1171,1792,14,105.6,31850,45.5,37,6.3,3.1,2.6,7,30.2,"38.1%",NA
"1:77","2021-10-15","Out of State",62869,39068,22853,24,12883,26185,36419,0,5806,0,784,1759,0,186,12344,5571,4567,0,0,0,0,0,0,0,0,0,0,"Inf",NA
"2:1","2021-10-14","Missing",343932,209173,126397,204,72028,137145,223810,0,46298,0,1289,6828,0,1054,39012,25641,22684,0,0,0,0,0,0,0,0,0,0,"Inf","1:1"
"2:2","2021-10-14","Howard",12517,6998,5433,0,932,6066,8084,46.9,2399,51.8,49,60,14.5,10,991,924,918,6,37.6,10888,64.3,49.9,5.8,7.6,8.3,1,47.1,"55.7%","1:2"
"2:3","2021-10-14","Pulaski",384894,200391,164441,167,25285,175106,214256,49.1,102322,38.6,1322,9235,35.6,378,23174,34207,19990,11,53.4,330989,60.5,49.7,5.8,5.9,5.5,7,52.5,"52.9%","1:3"
"2:4","2021-10-14","Lonoke",63881,34323,28485,13,4125,30198,51855,43.9,3863,45.3,152,619,13.9,69,4565,2758,2252,5,43.5,61242,56,46.5,5.5,7.7,3.3,6,43,"49.3%","1:4"
"2:5","2021-10-14","Prairie",6272,3576,2619,6,715,2861,5074,38.2,769,43.5,10,15,14.3,2,280,122,116,13,48.2,6949,51.5,37.7,8.7,12,10.7,6,44.4,"41.2%","1:5"
"2:6","2021-10-14","Desha",11632,6497,4986,9,1089,5408,5763,55.1,4812,49.2,21,76,20,4,375,581,687,13,58.5,9520,68.2,52.4,9.3,11.1,17.5,0,54.5,"56.8%","1:6"
"2:7","2021-10-14","Phillips",15476,8507,6867,0,1191,7316,5693,48.5,8664,45.5,11,48,9.1,4,634,422,374,12,69.2,14714,57.8,46.7,7,7,0,0,33.3,"49.7%","1:7"
"2:8","2021-10-14","Searcy",5743,3053,2609,1,351,2702,4871,34.5,17,18.8,10,4,3.4,1,668,172,206,32,40.6,6887,44.3,37.9,3.8,0,0.8,0,10.7,"39.2%","1:8"
"2:9","2021-10-14","Independence",28752,15871,12405,18,2543,13328,25822,39.8,497,27.7,64,382,11,39,690,1258,1171,10,30.5,31722,50,39.1,7,6.6,4.9,11,50.1,"42.0%","1:9"
"2:10","2021-10-14","Jackson",12440,6648,5413,6,1038,5610,9984,38.5,1539,26.9,22,36,9.8,13,431,415,348,13,38.3,14500,45.8,37.3,7,5.2,0,5,21.7,"38.7%","1:10"
"2:11","2021-10-14","Mississippi",28643,15907,12393,10,2567,13340,17092,37.1,8054,31.7,56,176,16.2,19,2243,1003,917,8,31.8,33683,47.2,36.8,6,7.1,3.2,3,53.9,"39.6%","1:11"
"2:12","2021-10-14","Greene",37816,19706,16459,9,2632,17074,33718,41.3,400,27.9,32,157,5.7,59,1859,1591,866,11,38.4,38118,51.7,43.2,6,6,2.8,9,35.4,"44.8%","1:12"
"2:13","2021-10-14","Clay",12534,6476,5504,4,730,5746,11034,41.2,70,25,4,16,1.4,1,1077,332,128,6,23.1,12543,51.6,43.9,4.7,3.2,2.8,8,20,"45.8%","1:13"
"2:14","2021-10-14","Randolph",13584,7713,5682,3,1458,6255,11894,38,95,21.3,13,66,6.9,129,482,905,222,13,34.3,15146,50.9,37.5,7.8,6.3,1,18,29.7,"41.3%","1:14"
"2:15","2021-10-14","Lawrence",14352,7870,6223,2,1323,6547,13264,44.3,98,22.5,25,39,11.6,9,624,293,191,7,42.8,14051,56,44.3,8.4,4,2.1,8,47.9,"46.6%","1:15"
"2:16","2021-10-14","Baxter",35858,18649,15912,14,2025,16624,30562,39,98,21.9,84,201,11.5,15,3476,1422,691,4,37.6,37221,50.1,42.8,4.2,1.8,3.8,7,46.8,"44.7%","1:16"
"2:17","2021-10-14","Marion",10431,5630,4566,0,662,4968,8749,29.1,23,10.3,19,19,4.9,6,1288,327,253,2,40.4,14723,38.2,31,3.5,0.9,2.5,4,13.9,"33.7%","1:17"
"2:18","2021-10-14","Perry",10084,5350,4517,4,586,4764,8968,49.6,182,43.3,9,17,5,0,637,271,201,9,37.7,8917,60,50.7,5.5,2.9,1.3,0,22.7,"53.4%","1:18"
"2:19","2021-10-14","Jefferson",55299,31664,21685,130,8514,23150,23828,42.4,26923,34.2,185,588,27.4,57,1514,2204,1035,12,42.3,57304,55.3,37.8,12.5,14.5,17.7,16,47.5,"40.4%","1:19"
"2:20","2021-10-14","Washington",233069,127889,97783,70,19995,107894,171353,44.2,6108,36,1745,5154,23,5537,14234,28938,40824,12,60.8,200760,63.7,48.7,7.5,7.7,4.6,12,45.4,"53.7%","1:20"
"2:21","2021-10-14","Crawford",51083,28001,22270,9,3728,24273,42012,40.2,664,30,421,919,12.2,19,3904,3144,3097,7,36.5,53333,52.5,41.8,5.9,3.5,3.3,8,45.2,"45.5%","1:21"
"2:22","2021-10-14","Little River",6702,3722,2899,0,537,3185,4286,24.9,1413,31.4,28,128,7.2,3,568,276,298,3,43.6,10486,35.5,27.6,3.9,6.1,1.7,5,123.2,"30.4%","1:22"
"2:23","2021-10-14","Miller",11540,6655,4831,2,1461,5194,6351,10.7,2814,13.8,26,80,3.2,6,1553,710,546,5,21.7,36531,18.2,13.2,2.7,3.9,2.9,2,16.7,"14.2%","1:23"
"2:24","2021-10-14","Lafayette",4315,2354,1946,0,309,2045,2254,29.2,1809,41,8,26,11.8,2,160,56,56,1,19.6,5854,40.2,33.2,3.6,6.3,0,6,37.1,"34.9%","1:24"
"2:25","2021-10-14","Columbia",19018,10661,8176,5,2033,8628,10014,36.2,6568,41.6,29,173,10.4,2,1377,855,607,17,53,20211,52.7,40.5,7.4,9.6,4,14,39.3,"42.7%","1:25"
"2:26","2021-10-14","Union",26977,15068,11652,0,2490,12578,14817,32.5,7970,35,56,203,14.3,38,1366,2527,1212,12,47.3,32555,46.3,35.8,5.1,7.1,2.1,11,42.7,"38.6%","1:26"
"2:27","2021-10-14","Ashley",17700,9505,7983,5,1154,8351,11499,43.7,4658,53.4,11,35,4.4,12,619,866,1266,12,68.6,16780,56.6,47.6,5.2,7.4,0,0,38.7,"49.8%","1:27"
"2:28","2021-10-14","Chicot",9237,5136,3929,20,791,4345,3575,42.8,4524,46.2,10,44,10.2,0,603,481,603,12,62.3,8680,59.2,45.3,5.8,9,0,0,30.4,"50.1%","1:28"
"2:29","2021-10-14","Benton",265149,142514,114186,48,19507,123007,198899,43.8,4033,37.3,1812,12265,17.6,1126,12916,34098,44820,10,57.9,231247,61.6,49.4,6.4,6.3,4.1,10,55,"53.2%","1:29"
"2:30","2021-10-14","Carroll",22597,12726,9395,2,2052,10674,17189,34.9,73,13.9,79,309,10.8,280,2430,2237,2517,8,38.4,24422,52.1,38.5,5.7,2.8,2.8,14,39.6,"43.7%","1:30"
"2:31","2021-10-14","Madison",13067,7129,5697,4,975,6154,11018,38.6,37,11.1,65,91,12.7,111,1010,735,936,11,58.2,14093,50.6,40.4,5.4,3.3,0,20,51.4,"43.7%","1:31"
"2:32","2021-10-14","Sebastian",106099,57954,44925,18,8936,49018,77069,39.3,5458,31.6,792,4977,11.8,106,7446,10251,11566,9,37.9,107538,53.9,41.8,6.1,7.4,3.4,7,40.8,"45.6%","1:32"
"2:33","2021-10-14","Polk",12326,7109,5125,1,1248,5861,10547,30.7,57,20.5,95,95,10.2,14,715,803,817,7,38.8,17073,41.6,30,6.2,5.7,4.3,4,29.3,"34.3%","1:33"
"2:34","2021-10-14","Sevier",12892,7016,5562,0,906,6110,8153,31,510,40.9,81,56,8.2,76,1754,2262,3334,7,36.5,13767,51,40.4,3.9,4.9,0.6,4,32.2,"44.4%","1:34"
"2:35","2021-10-14","Garland",90556,47753,39400,17,7435,40318,73890,42.8,5295,31.6,248,798,14.5,76,3089,7160,4213,14,41.7,86444,55.2,45.6,7.1,6.2,1.1,8,43.8,"46.6%","1:35"
"2:36","2021-10-14","Saline",109349,57499,47817,45,7144,50355,85436,42.3,9517,51.8,245,1317,15.5,118,6223,6493,4864,11,49.2,104254,55.2,45.9,5.3,8.4,2.5,5,42,"48.3%","1:36"
"2:37","2021-10-14","Franklin",15990,8658,7119,0,923,7735,14469,48.2,89,19.9,48,163,10.5,8,901,312,306,3,33.4,15200,57,46.8,5.4,5.1,0,10,37.4,"50.9%","1:37"
