"","County_Name","Date","Active_Cases_Total","Total_Positives","Total_Deaths","Pct_Positive_Cumulative","New_Cases_Today","Active_Cases_10k_Pop"
"300","St.Francis",2020-09-04,81,1362,4,12.07,5,30.81
"301","Stone",2020-09-04,42,212,4,7.93,1,33.75
"302","Union",2020-09-04,57,721,21,9.08,14,14.35
"303","VanBuren",2020-09-04,30,138,2,4.6,2,17.98
"304","Washington",2020-09-04,599,7429,78,10.97,226,26.21
"305","White",2020-09-04,81,564,12,5.22,13,10.28
"306","Woodruff",2020-09-04,1,28,0,2.05,0,1.5
"307","Yell",2020-09-04,29,1173,25,13.17,4,13.33
"308","Arkansas_all_counties",2020-09-05,5840,65226,882,8.45,548,19.35
"309","Arkansas_county",2020-09-05,25,294,3,6.6,1,13.79
"310","Ashley",2020-09-05,7,389,7,8.56,0,3.41
"311","Baxter",2020-09-05,22,147,1,4.99,0,5.34
"312","Benton",2020-09-05,326,5599,59,8.53,35,12.59
"313","Boone",2020-09-05,108,393,4,5.53,1,28.96
"314","Bradley",2020-09-05,21,303,6,8.97,3,19.18
"315","Calhoun",2020-09-05,0,23,0,1.78,0,0
"316","Carroll",2020-09-05,38,486,8,7.74,4,13.63
"317","Chicot",2020-09-05,25,969,11,18.38,1,23.09
"318","Clark",2020-09-05,34,255,4,5.06,2,15.19
"319","Clay",2020-09-05,35,203,5,6.14,5,23.24
"320","Cleburne",2020-09-05,13,264,7,5.48,4,5.15
"321","Cleveland",2020-09-05,8,141,6,6.65,1,9.73
"322","Columbia",2020-09-05,25,315,15,7.88,3,10.46
"323","Conway",2020-09-05,18,216,3,4.28,3,8.61
"324","Craighead",2020-09-05,280,2022,16,7.53,13,26.49
"325","Crawford",2020-09-05,103,971,9,6.37,5,16.49
"326","Crittenden",2020-09-05,73,1703,35,12.47,10,14.89
"327","Cross",2020-09-05,49,303,5,8.13,7,28.83
"328","Dallas",2020-09-05,40,135,2,8.16,3,53.82
"329","Desha",2020-09-05,24,252,5,7.62,0,20.19
"330","Drew",2020-09-05,13,309,5,6.24,0,7.03
"331","Faulkner",2020-09-05,183,1770,9,5.94,12,14.95
"332","Franklin",2020-09-05,24,182,2,4.14,0,13.5
"333","Fulton",2020-09-05,16,84,1,8.25,4,13.18
"334","Garland",2020-09-05,145,1501,31,6.46,2,14.75
"335","Grant",2020-09-05,27,202,1,5.2,3,14.93
"336","Greene",2020-09-05,50,660,5,6.24,2,11.2
"337","Hempstead",2020-09-05,6,335,3,8.7,0,2.73
"338","HotSpring",2020-09-05,49,1741,21,16.78,5,14.62
"339","Howard",2020-09-05,35,435,5,11.86,4,26.14
"340","Independence",2020-09-05,84,806,8,9.01,3,22.54
"341","Izard",2020-09-05,17,109,0,3.7,0,12.54
"342","Jackson",2020-09-05,19,194,1,3.63,0,11.03
"343","Jefferson",2020-09-05,294,2241,51,9.3,50,41.75
