"","Date","Cases_Male","Cases_Female","Cases_Gender_Unknown","New_Cases_Male","New_Cases_Female","New_Cases_Gender_Unknown"
"146",2020-12-10,84699,93060,1095,1058,1150,-6
"147",2020-12-09,83641,91910,1101,1073,1278,-24
"148",2020-12-08,82568,90632,1125,972,1265,46
"149",2020-12-07,81596,89367,1079,535,588,-5
"150",2020-12-06,81061,88779,1084,763,794,-15
"151",2020-12-05,80298,87985,1099,985,1252,8
"152",2020-12-04,79313,86733,1091,1247,1521,59
"153",2020-12-03,78066,85212,1032,1273,1448,68
"154",2020-12-02,76793,83764,964,973,1237,2
"155",2020-12-01,75820,82527,962,845,1097,8
"156",2020-11-30,74975,81430,954,481,642,-11
"157",2020-11-29,74494,80788,965,561,709,-49
"158",2020-11-28,73933,80079,1014,585,783,-19
"159",2020-11-27,73348,79296,1033,459,582,11
"160",2020-11-26,72889,78714,1022,999,1218,131
"161",2020-11-25,71890,77496,891,900,1134,-69
"162",2020-11-24,70990,76362,960,938,1103,81
"163",2020-11-23,70052,75259,879,456,567,-6
"164",2020-11-22,69596,74692,885,623,734,-5
"165",2020-11-21,68973,73958,890,855,1029,21
"166",2020-11-20,68118,72929,869,893,1133,35
"167",2020-11-19,67225,71796,834,1037,1156,45
"168",2020-11-18,66188,70640,789,746,979,-10
"169",2020-11-17,65442,69661,799,688,921,-55
"170",2020-11-16,64754,68740,854,559,719,30
"171",2020-11-15,64195,68021,824,347,494,33
"172",2020-11-14,63848,67527,791,808,1056,-16
"173",2020-11-13,63040,66471,807,956,1261,95
"174",2020-11-12,62084,65210,712,787,1018,4
"175",2020-11-11,61297,64192,708,846,1136,-20
"176",2020-11-10,60451,63056,728,651,792,-19
"177",2020-11-09,59800,62264,747,447,466,32
"178",2020-11-08,59353,61798,715,472,539,27
"179",2020-11-07,58881,61259,688,1695,1723,0
"180",2020-11-05,57186,59536,688,650,852,50
"181",2020-11-04,56536,58684,638,652,658,46
"182",2020-11-03,55884,58026,592,397,498,-17
"183",2020-11-02,55487,57528,609,240,321,-17
"184",2020-11-01,55247,57207,626,387,420,23
"185",2020-10-31,54860,56787,603,559,739,60
"186",2020-10-30,54301,56048,543,509,650,18
"187",2020-10-29,53792,55398,525,472,659,3
"188",2020-10-28,53320,54739,522,482,525,-59
"189",2020-10-27,52838,54214,581,370,518,-46
"190",2020-10-26,52468,53696,627,327,286,64
"191",2020-10-25,52141,53410,563,326,439,-1
"192",2020-10-24,51815,52971,564,476,636,32
"193",2020-10-23,51339,52335,532,542,766,71
"194",2020-10-22,50797,51569,461,562,648,29
"195",2020-10-21,50235,50921,432,531,590,-8
"196",2020-10-20,49704,50331,440,398,431,34
"197",2020-10-19,49306,49900,406,245,279,15
"198",2020-10-18,49061,49621,391,293,336,7
"199",2020-10-17,48768,49285,384,389,521,15
"200",2020-10-16,48379,48764,369,449,543,-27
"201",2020-10-15,47930,48221,396,605,736,23
"202",2020-10-14,47325,47485,373,502,517,-63
"203",2020-10-13,46823,46968,436,299,348,60
"204",2020-10-12,46524,46620,376,304,380,33
"205",2020-10-11,46220,46240,343,231,364,-30
"206",2020-10-10,45989,45876,373,417,421,18
"207",2020-10-09,45572,45455,355,514,629,70
"208",2020-10-08,45058,44826,285,518,740,24
"209",2020-10-07,44540,44086,261,389,408,7
"210",2020-10-06,44151,43678,254,345,329,12
"211",2020-10-05,43806,43349,242,197,202,-33
"212",2020-10-04,43609,43147,275,182,287,18
"213",2020-10-03,43427,42860,257,360,407,19
"214",2020-10-02,43067,42453,238,487,578,-21
"215",2020-10-01,42580,41875,259,518,655,-107
"216",2020-09-30,42062,41220,366,467,482,-49
"217",2020-09-29,41595,40738,415,326,371,-7
"218",2020-09-28,41269,40367,422,398,414,9
"219",2020-09-27,40871,39953,413,249,252,-5
"220",2020-09-26,40622,39701,418,420,384,-14
"221",2020-09-25,40202,39317,432,418,470,5
"222",2020-09-24,39784,38847,427,484,617,9
"223",2020-09-23,39300,38230,418,401,498,35
"224",2020-09-22,38899,37732,383,288,309,33
"225",2020-09-21,38611,37423,350,298,345,20
"226",2020-09-20,38313,37078,330,265,297,-2
"227",2020-09-19,38048,36781,332,489,588,1
"228",2020-09-18,37559,36193,331,478,383,1
"229",2020-09-17,37081,35810,330,486,512,10
"230",2020-09-16,36595,35298,320,306,394,-6
"231",2020-09-15,36289,34904,326,404,455,22
"232",2020-09-14,35885,34449,304,190,221,11
"233",2020-09-13,35695,34228,293,248,261,-3
"234",2020-09-12,35447,33967,296,838,950,0
"235",2020-09-11,34609,33017,296,534,563,11
"236",2020-09-10,34075,32454,285,195,205,10
"237",2020-09-09,33880,32249,275,167,212,-2
"238",2020-09-08,33713,32037,277,120,175,6
"239",2020-09-07,33593,31862,271,158,182,-1
"240",2020-09-06,33435,31680,272,301,372,10
"241",2020-09-05,33134,31308,262,223,291,14
"242",2020-09-04,32911,31017,248,530,542,1
"243",2020-09-03,32381,30475,247,399,549,22
"244",2020-09-02,31982,29926,225,247,362,21
"245",2020-09-01,31735,29564,204,123,166,6
"246",2020-08-31,31612,29398,198,160,205,-16
"247",2020-08-30,31452,29193,214,234,232,3
"248",2020-08-29,31218,28961,211,435,324,12
"249",2020-08-28,30783,28637,199,458,372,36
"250",2020-08-27,30325,28265,163,353,357,8
"251",2020-08-26,29972,27908,155,324,324,12
"252",2020-08-25,29648,27584,143,228,251,1
"253",2020-08-24,29420,27333,142,117,183,1
"254",2020-08-23,29303,27150,141,182,194,20
"255",2020-08-22,29121,26956,121,256,288,-1
"256",2020-08-21,28865,26668,122,416,460,3
"257",2020-08-20,28449,26208,119,259,288,11
"258",2020-08-19,28190,25920,108,350,376,2
"259",2020-08-18,27840,25544,106,174,225,3
"260",2020-08-17,27666,25319,103,209,200,11
"261",2020-08-16,27457,25119,92,383,275,3
"262",2020-08-15,27074,24844,89,-185,-209,15
