"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recoveries","Total_Tests","Oran_case_ko_rej_active","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Case_ko_rokaal_rainin","Recovered_Since_Yesterday","Armej_ro_rej_kab_mej_rainin","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Keej_ko_rej_Active_iaan_10K_armej","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:51","Montgomery",2021-11-21,46,NA,NA,1156,12831,1095,14028,15,8993,8993,788,368,NA,NA,746,349,30,16,12,3,6388,7640,788,5600,409,7231,1197,12831,0,0,0,5,12.85,155.53,0,16.68,13.3437117758256,8.26,0,1141,4.03,95.97,12096,1891
"1:52","Nevada",2021-11-21,40,NA,NA,1403,21726,1343,23180,20,8440,8440,1042,361,NA,NA,1002,341,31,9,9,11,20246,2934,1042,19204,412,2522,1454,21726,1,3,0,6,16.62,274.04,1.18,23.7,10.6635071090047,6.07,16.67,1383,2.89,97.11,17743,5386
"1:53","Newton",2021-11-21,39,NA,NA,1204,12130,1139,13381,26,7848,7848,837,367,NA,NA,790,349,31,8,16,10,6871,6510,837,6034,414,6096,1251,12130,2,3,0,10,15.34,169.9,2.55,33.13,20.3873598369011,9.03,20,1178,3.31,96.69,11815,1519
"1:54","Ouachita",2021-11-21,85,NA,NA,3446,27392,3337,31016,24,24106,24106,2879,567,NA,NA,2799,538,60,25,20,4,26200,4816,2879,23321,748,4068,3627,27389,2,2,0,16,14.3,127.93,0.83,9.96,8.29668962084128,11.17,12.5,3422,2.48,97.52,28051,2787
"1:55","Perry",2021-11-21,22,NA,NA,1572,16567,1521,18201,28,10322,10322,1188,384,NA,NA,1144,377,17,5,26,2,15694,2507,1188,14506,446,2061,1634,16567,-1,2,0,11,15.23,175.73,-0.97,27.13,25.1889168765743,8.67,-9.09,1543,1.43,98.57,12079,6060
"1:56","Phillips",2021-11-21,77,NA,NA,3230,28345,3142,31650,10,19034,19034,2933,297,NA,NA,2853,289,71,6,8,2,29515,2135,2933,26582,372,1763,3305,28345,0,1,0,72,16.97,165.89,0,5.25,4.20300514868131,10.23,0,3219,2.39,97.61,25937,5638
"1:57","Pike",2021-11-21,37,NA,NA,1747,14085,1689,15922,21,10808,10808,1296,451,NA,NA,1252,437,27,10,17,4,12057,3865,1296,10761,541,3324,1837,14085,0,0,1,7,16.16,146.48,0,19.43,15.7290895632865,11.03,0,1726,2.14,97.86,14151,1681
"1:58","Poinsett",2021-11-21,102,NA,NA,5042,44726,4877,49979,63,24054,24054,4076,966,NA,NA,3941,936,83,19,52,11,43777,6202,4076,39701,1177,5025,5253,44726,4,1,0,46,20.96,206.9,1.66,26.19,21.6180261079238,10.13,8.7,4979,2.05,97.95,46107,3661
"1:59","Polk",2021-11-21,112,NA,NA,3001,21120,2883,24252,5,20163,20163,2375,626,NA,NA,2291,592,79,33,4,1,18591,5661,2375,16216,757,4904,3132,21120,1,1,0,5,14.88,119.63,0.5,2.48,1.98383177106581,12.44,20,2995,3.74,96.26,20221,3900
"1:60","Pope",2021-11-21,159,NA,NA,12183,111255,11905,123821,118,63644,63644,9176,3007,NA,NA,8986,2919,140,19,49,69,106891,16930,9176,97715,3390,13540,12566,111255,7,4,0,61,19.14,193.95,1.1,18.54,7.6990761108667,9.87,11.48,12064,1.32,98.68,113992,9446
"1:61","Prairie",2021-11-21,29,NA,NA,1287,11630,1255,13004,2,8244,8244,869,418,NA,NA,845,410,23,6,1,1,9842,3162,869,8973,507,2655,1376,11628,0,0,0,3,15.61,156.68,0,2.43,1.21300339640951,9.96,0,1284,2.26,97.74,10962,1955
"1:62","Pulaski",2021-11-21,932,NA,NA,59775,648460,58221,710336,576,393463,393463,50470,9305,NA,NA,49133,9094,805,127,492,84,624359,85977,50470,573889,11407,74570,61877,648459,32,31,1,503,15.19,180,0.81,14.64,12.5043523787497,8.44,6.36,59153,1.58,98.42,585622,122613
"1:63","Randolph",2021-11-21,63,NA,NA,3416,36284,3309,39882,44,17603,17603,2320,1096,NA,NA,2238,1071,49,14,33,11,23731,16151,2320,21411,1278,14873,3598,36284,3,2,0,43,19.41,225.53,1.7,25,18.7468045219565,8.6,6.98,3372,1.87,98.13,34954,4746
"1:64","St. Francis",2021-11-21,69,NA,NA,4873,42874,4790,47875,14,NA,26294,4123,750,NA,NA,4055,735,58,11,10,4,44289,3586,4123,40166,884,2702,5007,42868,4,0,0,20,NA,NA,NA,NA,NA,10.21,20,4859,1.42,98.58,40927,6820
"1:65","Saline",2021-11-21,246,NA,NA,18825,184668,18416,204439,155,118009,118009,13378,5447,NA,NA,13083,5336,198,48,93,62,145076,59363,13378,131698,6402,52961,19780,184659,4,6,0,110,15.95,172.44,0.34,13.13,7.88075485768035,9.25,3.64,18662,1.32,98.68,185170,18323
"1:66","Scott",2021-11-21,30,NA,NA,1749,19148,1708,20958,11,10442,10442,1021,728,NA,NA,993,715,22,8,6,5,16443,4515,1021,15422,789,3726,1810,19148,1,0,0,10,16.75,200.12,0.96,10.53,5.74602566558131,8.37,10,1738,1.73,98.27,17360,3537
"1:67","Searcy",2021-11-21,24,NA,NA,1299,12140,1243,13585,31,7923,7923,715,584,NA,NA,683,561,16,8,16,15,8137,5448,715,7422,730,4718,1445,12140,-1,3,0,4,16.4,169.62,-1.26,39.13,20.1943708191342,9.67,-25,1267,1.89,98.11,12012,1427
