"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recuperaciones","Total_Tests","Casos_Activos","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","Confirmado_Activo","Probable_Activo","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Nuevos_Casos_Hoy","Recovered_Since_Yesterday","Nuevas_Muertes_Hoy","New_Tests_Dashboard","Cases_Population","Población_Probada","Nuevos_Casos_Hoy_por_cada_10k_Residentes","Casos_Activos_por_cada_10k_Residentes","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Porcentaje_Positivo_de_Novedades_en_el_Tablero","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:40","Lee",2021-08-16,39,NA,NA,1875,19590,1752,21503,83,9398,9398,1690,185,NA,NA,1589,163,37,2,63,20,13383,8120,1690,11693,223,7897,1913,19590,4,8,0,249,19.95,228.4,4.26,88.32,67.0355394764844,8.74,1.61,1791,2.18,97.82,17017,4448
"1:41","Lincoln",2021-08-16,50,NA,NA,3498,33270,3355,36873,93,13695,13695,2947,551,NA,NA,2870,485,36,14,41,52,20521,16352,2947,17574,656,15696,3603,33270,3,16,0,591,25.54,268.48,2.19,67.91,29.9379335523914,9.51,0.51,3405,1.47,98.53,25509,11259
"1:42","Little River",2021-08-16,43,NA,NA,1511,11175,1363,12764,105,12417,12417,1080,431,NA,NA,980,383,40,3,60,45,9675,3089,1080,8595,509,2580,1589,11175,4,10,0,17,12.17,102.17,3.22,84.56,48.3208504469679,11.91,23.53,1406,3.06,96.94,11550,1136
"1:43","Logan",2021-08-16,27,NA,NA,2709,37016,2538,39840,141,21757,21757,1878,831,NA,NA,1786,755,19,8,73,68,27100,12740,1878,25222,946,11794,2824,37016,4,21,1,42,12.45,182.58,1.84,64.81,33.5524199108333,6.82,9.52,2565,1.05,98.95,35222,4503
"1:44","Lonoke",2021-08-16,144,NA,NA,9825,82709,9037,93113,639,72206,72206,6416,3409,NA,NA,5914,3123,114,30,384,255,72723,20390,6416,66307,3990,16400,10406,82707,25,42,0,125,13.61,128.15,3.46,88.5,53.1811760795502,10.62,20,9181,1.57,98.43,71923,20611
"1:45","Madison",2021-08-16,32,NA,NA,1892,16501,1725,18508,135,16076,16076,1377,515,NA,NA,1274,451,23,9,80,55,15139,3369,1377,13762,630,2739,2007,16501,4,17,0,64,11.77,114.41,2.49,83.98,49.7636227917392,10.29,6.25,1757,1.82,98.18,16829,1564
"1:46","Marion",2021-08-16,40,NA,NA,1729,14168,1542,15991,147,16438,16438,1103,626,NA,NA,990,552,34,6,79,68,13042,2949,1103,11939,720,2229,1823,14168,10,15,1,40,10.52,96.71,6.08,89.43,48.0593746197834,10.88,25,1582,2.53,97.47,13747,2150
"1:47","Miller",2021-08-16,38,NA,NA,5116,30438,4819,35802,257,43759,43759,3155,1961,NA,NA,2985,1835,22,16,147,110,22740,13062,3155,19585,2209,10853,5364,30438,11,35,0,366,11.69,81.25,2.51,58.73,33.5930894216047,14.39,3.01,4857,0.78,99.22,27991,7563
"1:49","Mississippi",2021-08-16,114,NA,NA,6461,50443,6097,57118,249,42831,42831,5610,851,NA,NA,5351,746,95,19,163,86,36638,20480,5610,31028,1065,19415,6675,50443,10,19,0,157,15.08,132.86,2.33,58.14,38.0565478275081,11.35,6.37,6211,1.84,98.16,48853,8051
"1:50","Monroe",2021-08-16,19,NA,NA,1031,8965,959,10043,52,7249,7249,774,257,NA,NA,725,234,17,2,31,21,8767,1276,774,7993,304,972,1078,8965,4,6,0,10,14.22,137.89,5.52,71.73,42.7645192440337,10.31,40,978,1.94,98.06,8879,1117
