"","Date","Casos_0_10","Casos_11_17","Casos_18_24","Casos_25_34","Casos_35_44","Cases_45_54","Casos_45_54","Casos_65","Casos_Desconocidos","Muertes_0_10","Muertes_11_17","Muertes_18_24","Muertes_25_34","Muertes_35_44","Muertes_45_54","Muertes_55_64","Muertes_65","Muertes_Desconocidos","Casos_0_17","Casos_25_44","Casos_45_64","Muertes_0_17","Muertes_25_44","Muertes_45_64","Nuevos_Casos_0_10","Nuevos_Casos_11_17","Nuevos_Casos_18_24","Nuevos_Casos_25_34","Nuevos_Casos_35_44","Nuevos_Casos_45_54","Nuevos_Casos_55_64","Nuevos_Casos_65","Nuevas_Muertes_0_10","Nuevas_Muertes_11_17","Nuevas_Muertes_18_24","Nuevas_Muertes_25_34","Nuevas_Muertes_35_44","Nuevas_Muertes_45_54","Nuevas_Muertes_55_64","Nuevas_Muertes_65","Nuevos_Casos_0_17","Nuevos_Casos_25_44","Nuevos_Casos_45_64","Nuevas_Muertes_0_17","Nuevas_Muertes_25_44","Nuevas_Muertes_45_64"
"1:131",2021-01-21,16300,22815,36647,45213,42737,39860,34372,41276,0,0,0,5,33,72,202,524,3660,0,NA,NA,NA,NA,NA,NA,235,323,361,466,447,448,401,425,NA,NA,0,0,0,1,11,43,NA,NA,NA,NA,NA,NA
"1:132",2021-01-20,16065,22492,36286,44747,42290,39412,33971,40851,NA,NA,NA,5,33,72,201,513,3617,NA,NA,NA,NA,NA,NA,NA,122,264,282,391,381,373,372,335,NA,NA,0,0,0,1,9,45,NA,NA,NA,NA,NA,NA
"1:133",2021-01-19,15943,22228,36004,44356,41909,39039,33599,40516,0,0,0,5,33,72,200,504,3572,0,NA,NA,NA,NA,NA,NA,40,107,173,204,215,215,182,195,0,0,0,1,0,2,9,31,NA,NA,NA,NA,NA,NA
"1:134",2021-01-18,15903,22121,35831,44152,41694,38824,33417,40321,0,0,0,5,32,72,198,495,3541,0,NA,NA,NA,NA,NA,NA,176,85,115,154,191,130,114,144,0,0,0,0,0,0,3,29,NA,NA,NA,NA,NA,NA
"1:135",2021-01-17,15727,22036,35716,43998,41503,38694,33303,40177,0,0,0,5,32,72,198,492,3512,0,NA,NA,NA,NA,NA,NA,74,97,127,147,149,126,118,138,0,0,0,0,0,2,0,16,NA,NA,NA,NA,NA,NA
"1:136",2021-01-16,15653,21939,35589,43851,41354,38568,33185,40039,0,0,0,5,32,72,196,492,3496,0,NA,NA,NA,NA,NA,NA,165,281,330,392,372,357,305,341,0,0,0,0,0,0,4,26,NA,NA,NA,NA,NA,NA
"1:137",2021-01-15,15488,21658,35259,43459,40982,38211,32880,39698,0,0,0,5,32,72,196,488,3470,0,NA,NA,NA,NA,NA,NA,231,339,344,467,456,459,398,430,0,0,0,0,0,3,6,26,NA,NA,NA,NA,NA,NA
"1:138",2021-01-14,15257,21319,34915,42992,40526,37752,32482,39268,0,0,0,5,32,72,193,482,3444,0,NA,NA,NA,NA,NA,NA,168,258,303,385,332,402,303,340,0,0,0,0,1,3,2,36,NA,NA,NA,NA,NA,NA
"1:139",2021-01-13,15089,21061,34612,42607,40194,37350,32179,38928,0,0,0,5,32,71,190,480,3408,0,NA,NA,NA,NA,NA,NA,151,275,294,383,350,324,295,395,0,0,0,0,1,2,8,54,NA,NA,NA,NA,NA,NA
"1:140",2021-01-12,14938,20786,34318,42224,39844,37026,31884,38533,0,0,0,5,32,70,188,472,3354,0,NA,NA,NA,NA,NA,NA,207,299,402,513,449,453,420,466,0,0,0,0,0,2,6,32,NA,NA,NA,NA,NA,NA
"1:141",2021-01-11,14731,20487,33916,41711,39395,36573,31464,38067,0,0,0,5,32,70,186,466,3322,0,NA,NA,NA,NA,NA,NA,51,110,183,209,194,162,178,181,0,0,0,0,1,0,6,31,NA,NA,NA,NA,NA,NA
"1:142",2021-01-10,14680,20377,33733,41502,39201,36411,31286,37886,0,0,0,5,32,69,186,460,3291,0,NA,NA,NA,NA,NA,NA,197,200,413,521,503,506,449,541,0,0,0,0,0,0,1,32,NA,NA,NA,NA,NA,NA
"1:143",2021-01-09,14483,20177,33320,40981,38698,35905,30837,37345,0,0,0,5,32,69,186,459,3259,0,NA,NA,NA,NA,NA,NA,197,297,397,475,389,397,321,413,0,0,0,0,0,4,6,34,NA,NA,NA,NA,NA,NA
"1:144",2021-01-08,14286,19880,32923,40506,38309,35508,30516,36932,0,0,0,5,32,69,182,453,3225,0,NA,NA,NA,NA,NA,NA,298,241,380,454,407,371,367,426,0,0,0,0,0,1,3,36,NA,NA,NA,NA,NA,NA
"1:145",2021-01-07,13988,19639,32543,40052,37902,35137,30149,36506,0,0,0,5,32,69,181,450,3189,0,NA,NA,NA,NA,NA,NA,227,389,436,490,492,420,420,449,0,0,0,0,0,0,3,22,NA,NA,NA,NA,NA,NA
"1:146",2021-01-06,13761,19250,32107,39562,37410,34717,29729,36057,0,0,0,5,32,69,181,447,3167,0,NA,NA,NA,NA,NA,NA,250,359,492,613,552,472,444,523,0,0,0,1,1,1,5,57,NA,NA,NA,NA,NA,NA
