District LEA,District Description,2 or More Races Total,Asian Total,Black Total,Hispanic Total,Native American/Native Alaskan Total,Native Hawaiian/Pacific Islander Total,White Total,Student Total
4201000,BOONEVILLE SCHOOL DISTRICT,47,4,5,63,15,0,1024,1158
7303000,BRADFORD SCHOOL DISTRICT,0,0,7,10,1,0,407,425
4801000,BRINKLEY SCHOOL DISTRICT,11,0,300,6,1,0,108,426
1603000,BROOKLAND SCHOOL DISTRICT,48,14,80,124,3,0,2488,2757
6303000,BRYANT SCHOOL DISTRICT,208,179,1677,1417,12,7,5714,9214
1605000,BUFFALO IS. CENTRAL SCH. DIST.,4,0,2,144,0,1,579,730
4304000,CABOT SCHOOL DISTRICT,612,142,269,671,36,19,8422,10171
4901000,CADDO HILLS SCHOOL DISTRICT,14,2,0,84,1,0,449,550
3301000,CALICO ROCK SCHOOL DISTRICT,3,0,0,5,2,1,351,362
5204000,CAMDEN FAIRVIEW SCHOOL DISTRICT,93,14,1404,61,4,1,652,2229
6056700,CAPITAL CITY LIGHTHOUSE ACADEMY,6,0,144,6,0,0,5,161
4303000,CARLISLE SCHOOL DISTRICT,13,0,71,32,1,0,508,625
6802000,CAVE CITY SCHOOL DISTRICT,18,2,20,50,1,0,1081,1172
3212000,CEDAR RIDGE SCHOOL DISTRICT,3,2,11,34,3,0,632,685
1702000,CEDARVILLE SCHOOL DISTRICT,81,1,0,18,15,0,628,743
5502000,CENTERPOINT SCHOOL DISTRICT,16,6,2,204,2,0,749,979
2402000,CHARLESTON SCHOOL DISTRICT,22,7,7,24,9,0,751,820
4802000,CLARENDON SCHOOL DISTRICT,39,0,237,32,0,0,140,448
3601000,CLARKSVILLE SCHOOL DISTRICT,100,202,27,875,6,14,1212,2436
1305000,CLEVELAND COUNTY SCHOOL DISTRICT,14,0,172,16,1,0,489,692
7102000,CLINTON SCHOOL DISTRICT,15,5,5,89,2,0,1122,1238
1201000,CONCORD SCHOOL DISTRICT,1,1,1,8,2,1,395,409
2301000,CONWAY SCHOOL DISTRICT,460,165,2887,1094,18,5,5220,9849
